章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT001,Q0010,名目金利と実質金利,実質金利が１％のとき、金融政策によって名目金利をゼロに誘導すると、期待インフレ率は次のうちどのようになるか。,【１】-1%,【２】0%,【３】1%,【４】経済主体によって形成する期待インフレ率は異なる。,【５】-,1,【１】-1%,正解は選択肢1。#金利に関するフィッシャー式に基づいて答える。すなわち、#名目金利＝実質金利＋期待インフレ率#である。
SECT001,Q0020,IS-LM分析,IS-LMモデルにおいて、消費関数がC＝0.8x(所得ー所得税)+定数項で表されるとき、２兆円規模の所得税減税の所得にいかなる効果を与えるのかにつき、正しいものはどれか。,【１】所得の増加は、10兆円である。,【２】所得の増加は10兆円を上回る。,【３】所得の増加は10兆円を下回る。,【４】所得は変化しない。,【５】-,3,【３】所得の増加は10兆円を下回る。,正解は選択肢3。#乗数理論によると、公共事業等の財政支出の場合は、国民所得拡大効果は10兆円になる。しかし、本問は減税であることから、この政策効果は下回る。すなわち、政策効果は10兆円以下である。#この他、IS-LM分析によれば、政策効果の一部は金利上昇によるクラウディングアウトによって減殺されるので、政策効果は10兆円を下回る。
SECT001,Q0030,IS-LM分析(理論問題1),IS-LM分析に関して、次の記述のうち、正しいものはどれか。,【１】LM曲線が水平のとき、いかなる財政政策に対してGDPは一定である。,【２】LM曲線が垂直のとき、いかなる財政政策に対して利子率は一定である。,【３】IS曲線が水平のとき、いかなる金融政策に対してもGDPは一定である。,【４】IS曲線が垂直のとき、いかなる金融政策に対してもGDPは一定である。,【５】-,4,【４】IS曲線が垂直のとき、いかなる金融政策に対してもGDPは一定である。,正解は選択肢4。#右上がりのLM曲線を左右に移動させれば、IS曲線との交点の横座標は変わらない。
SECT001,Q0040,IS-LM分析(理論問題2),IS-LM分析で起こりえないケースはどれか。,【１】マネーサプライを減少させ、財政支出を増加させると金利が下がる。,【２】マネーサプライを減少させ、財政支出を減少させると金利が下がる。,【３】マネーサプライを増加させ、財政支出を増加させると金利が下がる。,【４】マネーサプライを増加させ、財政支出を減少させると金利が下がる。,【５】-,1,【１】マネーサプライを減少させ、財政支出を増加させると金利が下がる。,正解は選択肢1。#選択肢１の場合は、金利は必ず上がる。選択肢２と３の場合は金利が上がることも下がることもある。選択肢４の場合は金利は必ず下がる。
SECT001,Q0050,流動性のわなの場合に陥っている場合のIS-LM分析,流動性のわなの場合に陥っている場合のIS-LM分析として、正しくないものはどれか。,【１】貨幣供給の一時的な増加が国民所得を拡大させる。,【２】財政支出を拡大した場合、クラウディングアウトは生じない。,【３】財政支出のために、資金を貨幣発行で調達しても、金利に影響を与えない。,【４】流動性のわなは、長期債保有のキャピタルロス概念から貨幣需要が拡大することで生じる。,【５】-,1,【１】貨幣供給の一時的な増加が国民所得を拡大させる。,正解は選択肢1。#流動性のわなに経済が陥っている場合、LM曲線は横軸に水平であり、金融緩和政策によってもLM曲線に変化が生じない。
SECT001,Q0060,自然失業率,自然失業率に関して、正しくないものはどれか。,【１】技術革新の進展の結果、産業構造が転換すると、自然失業率が上昇する,【２】石油などの1次産品の価格上昇は、自然失業率を上昇させる。,【３】失業保険の給付期間短縮は、自然失業率を上昇させる。,【４】パートタイム雇用の普及は、自然失業率を上昇させる。,【５】-,3,【３】失業保険の給付期間短縮は、自然失業率を上昇させる。,正解は選択肢3。#選択肢３の失業保険の給付期間が短くなれば、終業を促進することから、自然失業率は低くなる。選択肢１は技術革新によって労働力削減が起きるため、選択肢２はコスト削減から労働需要を減少させるため、パートタイム雇用は潜在的な労働を掘り起こすことになって、これまでの雇用に関する就労を減少させる。
SECT001,Q0070,DD-SS分析,総需要曲線(DD曲線)と総供給曲線(SS曲線)の分析に関して、次の記述のうち、正しいものはどれか。,【１】総供給曲線が垂直な場合には、いかなる財政政策ももGDPに影響を与えることはない。,【２】総供給曲線が水平な場合には、いかなる金融政策もGDPに影響を与えることはない。,【３】早急曲線が水平な場合に、財政拡大政策はインフレを引き起こす可能性がある。,【４】総供給曲線が水平な場合に、金融緩和政策はインフレを引き起こす可能性がある。,【５】-,1,【１】総供給曲線が垂直な場合には、いかなる財政政策ももGDPに影響を与えることはない。,正解は選択肢1。#DD-SS分析では、財政政策と金融政策はすべて需要側を変化させる要因であるため、いずれもDD曲線のシフト要因になる。#需要側の要因によるDD曲線の変化がおきても、SS曲線が水平のときはGDPに影響を与えることはない。
SECT001,Q0080,デフレーションの影響,デフレーションが経済に及ぼす影響として、正しくないものはどれか。,【１】貨幣の実質価値を低め、家計の消費を抑制する,【２】債務の実質負担を高め、企業の倒産を加速する。,【３】実質金利を上昇させ、企業の投資行動を抑制する,【４】実質為替レートが増加し、輸出を抑制する,【５】-,1,【１】貨幣の実質価値を低め、家計の消費を抑制する,正解は選択肢1。#実質値＝名目値／物価であることを前提に考える。選択肢１は物価が下落することによって貨幣の実質価値が増大することになるから正しくない。
SECT001,Q0090,インフレーションの影響,インフレーションと所得分配に関して、正しくないものはどれか。,【１】課税最低限が設定されているとき、インフレ率は低所得者への課税に影響しない。,【２】インフレと逆にデフレになると、債務者から資産保有者へ所得移転が生ずることになる。,【３】インフレにより、国債や住宅ローンの実質的負担が軽減される。,【４】年金生活者は、インフレによって実質所得が低下する。,【５】-,1,【１】課税最低限が設定されているとき、インフレ率は低所得者への課税に影響しない。,正解は選択肢1。#選択肢１について、インフレが起きると課税最低限は実質的に引き下がる。選択肢２について、物価が安定しないと国民に損害を与えることになるので正しい。
SECT001,Q0100,物価変動の要因,インフレーションとデフレーションに関して、正しくないものはどれか。,【１】人々のインフレ期待が大きいときは、他の経済状況が同じだとしても、物価上昇率は高くなる。,【２】賃金の上昇や原油高はスタグフレーションの原因となる。,【３】供給と実際の需要の差であるデフレギャップが大きいと、物価は下落しやすい。,【４】生産コストの低下によっては、デフレは発生しない。,【５】-,4,【４】生産コストの低下によっては、デフレは発生しない。,正解は選択肢4。#選択肢１から３までの記述は正しい。選択肢４については、DD-SS分析に基づいて考えると、生産コストの低下は総供給曲線を右にシフトさせるので、物価の下落(デフレ)を引き起こすことが説明できる。従って、誤った記述である。
