章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT002,Q0010,乗数の低下要因(1),次のうち、公共投資乗数の低下の原因として、正しくないものはどれか。,【１】GDPに連動して増大する支出割合が減少する。,【２】為替レートが増価する。,【３】限界輸入性向が大きくなる,【４】限界貯蓄性向が上昇する。,【５】-,2,【２】為替レートが増価する。,正解は選択肢2。#選択肢２について乗数と為替レートの動きとは直接関係がない。#選択肢３と４については乗数の式をもとにして考える。#乗数＝1/{1-c(1-t)+m}#選択肢１については、乗数理論が当初の需要項目(例えば政府支出)の拡大ののち消費が累乗的に拡大していくことを前提にしていることを覚えておく必要がある。
SECT002,Q0020,乗数の低下要因(2),次のうち、乗数が低下する可能性として、正しくないものはどれか。,【１】需要の拡大が、ほとんど輸入によって賄われる。,【２】政府支出によって民間支出がクラウドアウトされる。,【３】政府支出のほとんどが所得税によって調達される。,【４】所得の拡大を通じて、家計の消費性向が高まる。,【５】-,4,【４】所得の拡大を通じて、家計の消費性向が高まる。,正解は選択肢4。#選択肢４について、乗数をもとにして考えると正しくないことが分かる。#選択肢１について、需要の拡大がほとんど輸入によって賄われた場合、GDPの拡大という点からマイナス要因になることはY=C+I+G+X-Mの式から明らか。#選択肢２についても、民間支出のクラウドアウトはGDPの拡大という点からマイナス要因。#選択肢３については、増税によって民間消費が減少する。
SECT002,Q0030,外国貿易乗数,小国開放経済において、限界消費性向が0.7、限界輸入性向が0.2のケースに置ける外国貿易乗数は次のうちいくらにになる。,【１】２,【２】４,【３】６,【４】８,【５】-,1,【１】２,正解は選択肢1。#外国貿易乗数は限界消費性向cと限界輸入性向mが数値として与えられた場合、#１/（１ーc＋m）#として計算される。
SECT002,Q0040,財政政策と景気の安定性,景気の変動に対して、その変動の振幅を減少させて、景気を安定化させるための政策として妥当ではないものはどれか。,【１】好況期に増税し、不況期に減税する財政運営,【２】好況期に国債を発行して資金を吸収し、不況期に国債を返済して資金を供給する財政運営,【３】雇用保険の導入および所得にスライドする健康保険の導入,【４】公共投資支出を毎期定額に保つ財政運営,【５】-,2,【２】好況期に国債を発行して資金を吸収し、不況期に国債を返済して資金を供給する財政運営,正解は選択肢2。#選択肢１は好況期の増税は景気を冷やし、不況期の減税は景気を刺激する効果があり、景気を安定化させる。#選択肢２は好況期にはすでに発行された国債を返済し、不況期には国債を発行して景気を刺激することが経済の安定に資することになる。#選択肢３は不況により失業者が増大したときに、保険給付を通じて所得の減少を緩和し、公共のときに所得の上昇に伴う健康保険料の増大によって所得を抑える役割を果たす。#選択肢４は景気の善し悪しに関係なく、一定の公共投資を継続することで景気の変動に累積的に影響を与えないようにすることが期待できる。
SECT002,Q0050,日本の財政状況,日本の財政状況に関して、正しくないものはどれか。,【１】バブル崩壊後における公共投資増や減税の実施による景気刺激策がとられたため政府債務残高が累増した。,【２】バブル崩壊によって、企業収益が落ち込んだことは、財政赤字拡大をもたらした。,【３】厚生年金保険料の引き上げ等社会保障負担の引き上げは、社会保障制度の黒字をもたらし、財政赤字拡大を抑制した。,【４】金利低下によって、利払い費は抑制されているが、金利が上昇すれば財政赤字拡大の大きな要因になることが予想される。,【５】-,3,【３】厚生年金保険料の引き上げ等社会保障負担の引き上げは、社会保障制度の黒字をもたらし、財政赤字拡大を抑制した。,正解は選択肢3。#わが国の財政に関する時事的問題である。選択肢３の社会保障制度は赤字である。他の選択肢の記述は全て正しい。
SECT002,Q0060,財政の自動安定化機能,次のうち財政の自動安定化機能の働く政策はどれか。,【１】景気が悪化した場合に、建設業者の倒産が増価しないように公共事業等を増加させる。,【２】所得の低迷により、消費が落ち込まないように消費税率を引き下げる。,【３】失業者の増加によって失業保険の支払が増加したので、収支均衡のために保険料を引き上げる。,【４】賃金が上昇することによって、所得税が増加して可処分所得の伸びを抑制するように累進税率を採用する。,【５】-,4,【４】賃金が上昇することによって、所得税が増加して可処分所得の伸びを抑制するように累進税率を採用する。,正解は選択肢4。#選択肢１と２は裁量的財政政策、選択肢３は財政の自動安定化機能を阻害する政策である。一般的に所得税の累進構造は財政の自動安定化機能として代表的なものである。
SECT002,Q0070,リカードの中立命題,リカードの中立命題が成立するために必要とされない条件はなにか。,【１】家計は利他的な相続動機を持っていることが必要である。,【２】家計は流動性制約がないことが必要である。,【３】家計は自らの消費に関する効用関数の形状を熟知していることが必要である。,【４】今後、将来にわたる政府の財政活動について、家計が十分に予測可能な状態であることが必要である。,【５】-,1,【１】家計は利他的な相続動機を持っていることが必要である。,正解は選択肢1。#リカードの中立命題には、家計が自らの消費に関する効用関数の形状を知っており、かつ、政府の財政活動が理解出来るために将来の増税時期が合理的に予測出来なければ、それに備えて適切な消費行動がとりえない、という考え方が前提になっている。#また、家計が流動性制約に直面している場合には、生涯の所得を予測し、これを自らの効用関数を前提にして、効用が最大化するかたちで毎期の消費量を決定していくという生涯にわたる合理的な消費行動が不可欠となる。#一方、国債の発行と返済のための増税が同世代のなかで行われるときには、家計が利他的動機に基づいて行動するのか否かは問題ではない。
SECT002,Q0080,バローの中立命題,バローの中立命題について、正しい記述はどれか。,【１】遺産について利他的な動機を前提にしている。,【２】増税より、公債発行に寄る資金を調達する方が、民間の消費を減少させない。,【３】大量の公債発行は、クラウディングアウトを生じさせる。,【４】大量の公債発行は、財政の硬直化をもたらす。,【５】-,1,【１】遺産について利他的な動機を前提にしている。,正解は選択肢1。#バローの中立命題が前提にする政府支出の拡大とこれに係る増税が世代間を跨いで行われるときには、命題成立のために利他的な遺産動機を必要とする。従って、選択肢１が正しい。#選択肢２について、政府支出拡大に係る財政調達に関して増税と公債発行に区別がないことが中立命題の核心である。
SECT002,Q0090,年金制度,公的年金制度に関して、正しいものはどれか。,【１】年金原資の調達方法としては、積み立て方式と賦課方式があるが、２つの方式の差異は原資を積み立てる時期が前倒しか後回しかの違いである。,【２】人口の増加を前提とすれば、賦課方式は年金原資の拠出時期が後回しになるので国民に受け入れられやすく、多くの国でこの方式が採用された。,【３】所得を世代内と世代間とで再配分するという公的年金の機能は、私的年金でも達成できる。,【４】積立方式を採用する年金制度は、すべての受給者は自分の年金原資を自らで積み立てることになるため、所得の再分配機能はない。,【５】-,2,【２】人口の増加を前提とすれば、賦課方式は年金原資の拠出時期が後回しになるので国民に受け入れられやすく、多くの国でこの方式が採用された。,正解は選択肢2。#積立方式とは、青年期に毎年ある額を積み立てて、年金の基金として市場で運用し、将来老年期になってから、運用収益とともに年金基金を老後の生活のために使うものである。#一方、賦課方式は、ある期に青年期の世代が負担した年金の額を、その期の老年期の世代にそのまま回して老年世代の年金給付にあてる方式である。
SECT002,Q0100,貨幣の機能(1),貨幣の機能はいくつか上げられるが、そのうち価値保蔵機能に関して、次のうち適切なものはどれか。,【１】貨幣には価値保蔵機能があるから、その相対価値として、ものの価格を特定化できるのである。,【２】貨幣の価値保蔵機能は、貨幣が最も安全な資産であるということと表裏一体である。,【３】貨幣の価値保蔵機能は貨幣が全ての資産の中で最も流動性の高い資産であるということと表裏一体である。,【４】物々交換経済では、欲望の一致が起こらないと取引(交換)が成立しないが、貨幣が介在すること(＝価値保蔵機能)によって、物々交換経済では取引が成立しないような場合にも、取引(交換)が成立することになる。,【５】-,3,【３】貨幣の価値保蔵機能は貨幣が全ての資産の中で最も流動性の高い資産であるということと表裏一体である。,正解は選択肢3。#貨幣の機能には次の３つのものがある。#・支払手段機能#・価値尺度機能#・価値保蔵機能#選択肢１は価値保蔵機能ではなく、価値尺度機能に関わるものである。#選択肢２は物価の変動が生ずると貨幣の価値は増減するため(たとえばインフレが生じたときは貨幣価値は目減りする)、必ずしも最も安全な資産とは言えない。#選択肢３は貨幣の価値保蔵機能を説明したものとして正しい。#選択肢４は支払手段機能に基づくものである。
