章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT003,Q0010,MM理論(1),全ての資金を株式により調達している企業Uと、資金の半分を負債で調達している企業Lについて、両企業の営業利益が全く同じ確率分布に従う確率変数であると投資家が予測するとき、MM理論によれば、企業Uも企業価値が1000億円のとき、企業Lの企業価値はいくらか。,【１】この前提だけでは不明,【２】500億円,【３】1000億円,【４】1500億円,【５】-,3,【３】1000億円,正解は選択肢3。#MM理論の無関連性命題についての出題。営業利益がまったく同一と予想される企業の価値は資本構成にかかわらず同一であるとする考え方。
SECT003,Q0020,MM理論(2),次に掲げるMM理論に関する記述で正しくないものはどれか。,【１】資本構成においてレバレッジを高めると倒産リスクが拡大するが、それでも無関連性命題が成立するのは、レバレッジを高めるに従って株式に対する要求利回りが比例的に上昇するからである。,【２】企業価値は法人税を考慮しなければ資本構成に関わらず一定であるが、法人税を考慮した場合は、レバレッジを上昇させるに従って高まることになる。,【３】借り手と貸し手との間に情報の非対称性があるものとすると、適切な企業評価ができなくなるので、MMの無関連性命題は成立しなくなる。,【４】倒産リスクを考慮に入れると、レバレッジの拡大に伴って、倒産リスクの増加分だけ企業価値が減少するのでMMの無関連性命題は成立しなくなる。,【５】-,4,【４】倒産リスクを考慮に入れると、レバレッジの拡大に伴って、倒産リスクの増加分だけ企業価値が減少するのでMMの無関連性命題は成立しなくなる。,正解は選択肢4。#選択肢２は法人税を考慮したMM理論について述べており、正しい。#選択肢４が誤りであるのは倒産リスクの増加分だけ株主にとって企業価値が低くならない(選択肢１に書かれている理由から)。
SECT003,Q0030,トービンのqとMM理論,次の文章はいずれも投資に関して述べたものである。これらのうち正しくないものはどれか。ただし、法人税は課されていないものとする。,【１】MM理論に基づいて考えると、投資に際しては、企業価値を最大化することが必要であり、それはその投資プロジェクトの収益性と内部資金と外部資金の組合せにより決定される。,【２】トービンのq理論では、投資に関する調整費用があると、理論的にはqは１を上回ることになるから、現実のqが１を下回った場合には、株価が過小評価されているか、企業が企業価値の最大化を図っていないかのいずれかということになる。,【３】MM理論は、投資のプロジェクトについて不確実性がなく、情報が広く市場において公開されていることを前提とした議論である。,【４】トービンのq理論にもとづいて企業間における企業価値と投資の関係を考察しようとする時には、MM理論の成立を前提とする必要がある。,【５】-,4,【４】トービンのq理論にもとづいて企業間における企業価値と投資の関係を考察しようとする時には、MM理論の成立を前提とする必要がある。,正解は選択肢4。#選択肢１について、法人税を考慮しない場合のMM理論では、企業価値はいかなる資本構成をとっても、予想される利益が同じ企業については、同じになる。従って、内部資金と外部資金を区別して述べている本文は誤りとなる。#選択肢２については、投資の調整費用があると、その期に望ましい投資量のすべてを実施することが合理的でなくなるために企業価値最大化(利潤の極大化)が実現されたときに成立するトービンのqが１になるということはなくなる。#選択肢３について、トービンのqはその内容に市場が評価した企業価値ということを含むため、市場における適切な評価のために情報が広く行き渡ることが必要であることを述べたものである。#選択肢４について、トービンのqはその内容に市場が評価した企業価値ということを含んでおり、企業価値が資本構成等の投資プロジェクトの収益性以外の要素に基づいて決定されるとすると、企業の投資は利潤極大化を前提にして行われるという投資理論の前提が崩れてしまう。#すなわち、投資と企業利益(プロジェクトの収益性)との間にはトービンのqとMM理論を介して次の関係がある。##プロジェクトの収益性→企業価値の増減→トービンのqの大小→投資量
SECT003,Q0040,MM理論の無関連性命題,次に掲げるもののうち、MM理論の無関連性命題が成立しなくなる可能性があるものとして、正しくないものはどれか。,【１】法人税がある場合,【２】倒産リスクがある場合,【３】借り手と貸し手の間に情報の非対称性がある場合,【４】融資に関して限度が設けられていたり、何らかの規制がある場合,【５】-,2,【２】倒産リスクがある場合,正解は選択肢2。#選択肢１と３の場合には無関連性命題は成立しない。#選択肢４の場合には融資に関して規制があると企業が望む自由な資本構成がとれなくなることから無関連性命題を議論できないことになる。選択肢２の倒産リスクの増大は、そもそも無関連性命題の議論において、株式への投資家の直面する企業価値の中で考慮されている。
SECT003,Q0050,株主と経営者との間のエージェンシーコスト,株主と経営者との間のエージェンシーコストについて考えるとき、それが高まる可能性に関して、正しくないものはどれか。,【１】豪華な役員室を設置したり、役員用の高級車を購入する。,【２】100%出資するオーナー経営者が自ら自由になるのを良いことにワンマン経営を行う。,【３】経営に関するディスクロージャーについては、コストがかかることから積極的に取り組まない。,【４】経営者がより高い収益機会を求めてリスクの高い投資を行う。,【５】-,2,【２】100%出資するオーナー経営者が自ら自由になるのを良いことにワンマン経営を行う。,正解は選択肢2。#企業行動の原理は、利益最大化(利潤最大化)である。利益最大化は、限界収入が限界費用と等しくなる点で実現される。このことは完全競争市場においても独占市場においても変わらない。完全競争市場では、限界収入イコール価格であるため、選択肢２が正しい回答となる。
SECT003,Q0060,企業の行動,企業の行動に関して、次の記述のうち、正しいものはどれか。,【１】完全競争市場では企業は利益を最大化するため、限界費用がゼロになる点で供給量を決める。,【２】完全競争市場では企業は利益を最大化するため、限界費用と株価が等しくなる点で供給量を決める。,【３】独占市場では、企業は利益を最大化するため、平均費用と価格が等しくなる点で供給量を決める。,【４】独占市場では、企業は利益を最大化するため、限界収入が最大になる点で供給量を決める。,【５】-,2,【２】完全競争市場では企業は利益を最大化するため、限界費用と株価が等しくなる点で供給量を決める。,正解は選択肢2。#企業行動の原理は利益最大化(利潤極大化)である。利益最大化は、限界収入が限界費用とイコールになる点で実現される。このことは、完全競争市場に置いても独占市場においても変わらない。完全競争市場では、限界収入イコール価格であるため、選択肢２が正しい。
SECT003,Q0070,費用曲線,縦軸に費用、横軸に生産量を取った時に描ける企業の短期費用曲線(STC)及び長期費用曲線(LTC)に関する記述について、正しくないものはどれか。,【１】長期限界費用曲線のグラフは、横軸に水平になる。,【２】短期平均曲線の最低点は、長期平均費用曲線と接する。,【３】長期平均費用曲線のグラフは、横軸に水平になる。,【４】短期限界費用曲線の最低点は、長期限界費用曲線と接する。,【５】-,4,【４】短期限界費用曲線の最低点は、長期限界費用曲線と接する。,正解は選択肢4。#長期費用曲線には、固定費が存在しないため、原点から伸びる直線になっている。従って、LAC(長期平均費用曲線)とLMC(長期限界費用曲線)は一致する。#また、短期平均費用曲線SACは原点から各短期費用曲線に引いた直線の傾きに等しく、長期費用曲線とそれらの直線が接するときが最もその傾きが小さくなる。
SECT003,Q0080,資産価格バブル,資産価格バブルに関して、正しくないものは次のうちどれか。,【１】資産価格がゼロ以下にはなりえないので、下方へのバブルは歯止めがかかる。,【２】投資家の期待形成が合理的になされればバブルは発生しない。,【３】資産市場が効率的であってもバブルは発生する。,【４】将来の価格が上昇し続けるという期待が永続しない限り、バブルは崩壊する。,【５】-,2,【２】投資家の期待形成が合理的になされればバブルは発生しない。,正解は選択肢2。#投資家の期待形成が合理的であっても、バブルが発生するというのが、証券アナリスト試験関連の一般的主張でごく基本的なものである。選択肢２以外の記述についてはすべて正しい。
SECT003,Q0090,市場の失敗と政府政策,市場の失敗を回避するための政府の政策として、次のうち適切でないものはどれか。,【１】公共財の供給を行う。,【２】企業の研究開発促進のため、特許制度を充実させる。,【３】河川を汚さないように、工場からの排水規制を行う。,【４】独占企業の超過利潤に課税する。,【５】-,4,【４】独占企業の超過利潤に課税する。,正解は選択肢4。#独占の場合は、競争市場に比べて供給量が過小になる。税金を課すことではこの問題を解決することはできない。#公共財についてはその性質によって民間による供給が不可能であるため、公によって供給される必要がある。
SECT003,Q0100,私的費用と社会的費用,次の文章は、私的費用と社会的費用について述べたものである。次のうち正しくないものはどれか．,【１】ガソリン代に税金が含まれていない場合、ガソリン代は自動車を走らせる人にとって私的費用と言える。,【２】自動車を走らせることによって生ずる大気汚染は、社会的費用と言える。,【３】大気汚染の社会的費用を顕在化させるため、ガソリン価格に課税を行って、ガソリンに係る供給曲線を右にシフトさせることは正しい政策である。,【４】社会的費用を考慮すると、私的費用のみしか考慮されない場合と比べて、ガソリンの消費量は少なくなる。,【５】-,3,【３】大気汚染の社会的費用を顕在化させるため、ガソリン価格に課税を行って、ガソリンに係る供給曲線を右にシフトさせることは正しい政策である。,正解は選択肢3。#大気汚染の社会的費用を顕在化させるために、政策的にガソリン価格に課税を行うと、ガソリンに係る供給曲線は左にシフトする。その結果、ガソリンに係る供給曲線と需要曲線の交点で決まる。ガソリンの消費量は選択肢４のようになる。
