章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,
SECT001,Q0010,金融商品取引法,金融商品取引法に関する次の記述のうち、正しくないものはどれですか。,証券化商品やコマーシャルペーパーは、金融商品取引法の下で有価証券と定義されている。,金融商品取引法の下では、デリバティブ取引は有価証券とは定義されておらず、一切規制の対象外とされている。,証券取引法から金融商品取引法へ移行した際、有価証券の定義が拡充された。,金融商品取引法の下で有価証券と定義されると、所有者の移転に関する手続きが迅速化・簡便化されるなどの利便性が生じる。,【５】-,2,金融商品取引法の下では、デリバティブ取引は有価証券とは定義されておらず、一切規制の対象外とされている。,金融商品取引法の下ではデリバティブ取引の大部分は有価証券とは定義されていないが、商品先物取引法で管轄されている商品関連のデリバティブ 取引以外の多くは、金融商品取引法の規制対象とされている。,
SECT001,Q0020,債券及び株式,債券および株式に関する次の記述のうち、正しくないものはどれですか。,ディープ・ディスカウント債とは、同じ満期のパー発行債券よりもクーポンの支払いが多く、割引債に近いアンダーパーで発行される利付債である。,普通株を保有している株主には、株主総会の議決権などを通じて、当該株式を発行している企業の経営に参加する権利が与えられている。,株式には種類があり、配当が普通株に対して優先される優先株、逆に劣後する株式もありうる。,無担保の債券は、元利金の支払いに関して担保付債券よりも実質的に劣後している。,【５】-,1,ディープ・ディスカウント債とは、同じ満期のパー発行債券よりもクーポンの支払いが多く、割引債に近いアンダーパーで発行される利付債である。,割引債の応用として発行価格と償還価格に差を設け、その差額を計算にいれてクーポンの支払い金額を増減させ、様々な 利払い水準の債券を作ることが可能である。その代表例がディープ・ディスカウント債で、同じ満期のパー発行債券よりもクーポンの支払が少なく、 割引債に近いアンダーパーで発行される利付債である。,
SECT001,Q0030,証券市場,証券市場の機能に関する次の記述のうち、正しいものはどれですか。,証券発行市場ではオリジネーターが資金調達に関する情報を収集し、その情報を主に資金調達者に提供している。,証券流通市場では、アンダーライターが証券の売買注文を取扱っている。,典型的な機関投資家の例は、投資顧問会社や投資信託の運用会社である。,日本の場合、金融仲介機関の経営は主に証券取引等監視委員会が監視している。,【５】-,3,典型的な機関投資家の例は、投資顧問会社や投資信託の運用会社である。,１は資金調達者に情報を提供するのは、オリジネーターではなくアンダーライターである。#2は証券の売買注文を取扱うのは、アンダーライターではなくブローカ－やディーラーである。#3は正しい。#4で金融仲介機関の経営を主に監視しているのは、証券取引等監視委員会ではなく金融庁である。#■オリジーネータ－・・・SPE(special purpose entity：証券化を目的に機能する機関)に資産を売却する金融機関や一般事業会社#■アンダーライター・・・資金調達に関する情報を収集し、資金調達者に対して提供する。新規発行証券の発行条件を決定する。#■ブローカー、ディーラー・・・証券の売買注文を取扱う。,
SECT001,Q0040,証券市場,証券市場と情報に関する次の記述のうち、正しくないものはどれですか。,間接金融の場合、資金調達者に関する情報は随時、資金調達者と供給者の間の交渉で得られる。,情報開示制度では、発行開示は有価証券届出書、継続開示は有価証券報告書、随時開示は会社法によって担保される。,金融商品取引法は、どのような情報を公開するのか、具体的な開示内容を列挙している。,特定の投資家の投資行動に関する情報開示に対しては、大量保有報告書やTOB制度が定められている。,【５】-,2,情報開示制度では、発行開示は有価証券届出書、継続開示は有価証券報告書、随時開示は会社法によって担保される。,(1)日本の場合、主に金融商品取引法が情報開示制度の根拠となっている。発行開示は有価証券届出書、継続開示は有価証券報告書、適時開示は 取引所の規制によって担保されてる。#(2)日本の場合、株主総会での特別決議では、議決権の過半数を有する株主が出席し、出席した株主の議決権の３分の２以上で もって決議される。#■エグジット・・・株式を売却することで、経営陣に経営陣にメッセージを伝える。#■ボイス・・・株主総会での議決権を行使することで、経営陣にメッセージを伝える。,
SECT001,Q0050,コーポーレートガバナンス,空欄に入る①と②で正しい組合せはどれですか。(1)コーポーレート・ガバナンスである(①)とは、株主総会の議案に対して積極的に賛否の意思表示をするのが代表的形態である。(2)日本の株主総会での決議の方法として普通決議、特別決議などがある。特別決議は、議決権の過半数を有する株主が出席し、(②)株主の議決権の3分の2以上でもって決議される。,①エグジット　②全,①ボイス　　　②出席した,①エグジット　②出席した,①ボイス　　　②全,【５】-,2,①ボイス　　　②出席した,株主権を所有している個々の株主にとって、コーポレートガバナンスの方法はエグジットとボイスに大別される。 ボイスとは、主に株主総会での議決権の行使と、それを意識した経営陣との交渉を指す。,
SECT001,Q0060,株式市場,株式市場に関する次の記述のうち、正しくないものはどれですか。,第三者に対して現在の株価を大幅に下回る発行価格で増資を行うことは、既存株主の保護の観点から禁止されている。,日本では、株式の権利が特定の事業部門や子会社の業績に連動する株式を発行することができる。,株式の発行企業が自己株式を取得した場合、再度、流通市場で売却して資金調達することが認められている。,現在、日本において新規株式公開の際の発行価格決定方法としては、ブックビルディング方式が一般的である。,【５】-,1,第三者に対して現在の株価を大幅に下回る発行価格で増資を行うことは、既存株主の保護の観点から禁止されている。,第三者に対する有利発行は、株主総会における特別決議で承認を受けることを条件に、認められている。,
SECT001,Q0070,証券発行市場,証券発行市場に関する次の記述のうち、正しくないものはどれですか。,証券の発行に際し、私募となりうる条件は金融商品取引法で定められている。,発行会社が保有している自己株式を金庫株と呼ぶ。,私募の場合も有価証券届出書の提出が義務付けられている。,有価証券の売出しはアンダーライターの仲介によって実施される。,【５】-,3,私募の場合も有価証券届出書の提出が義務付けられている。,私募の場合は原則として、有価証券届出書の提出は不要である。,
SECT001,Q0080,債券市場,債券市場に関する次の記述のうち、正しくないものはどれですか。,債券市場の特徴として、銘柄数が少なく限定されていることが挙げられる。,格付けはデフォルトリスクもしくは信用力の評価だが、資金調達金利に影響を及ぼすことはない。,財務代理人は、社債がデフォルトした場合に、社債権者を代表して権利の保全を取仕切る。,債券は発行後、ほとんどが店頭市場で取引される。,【５】-,4,債券は発行後、ほとんどが店頭市場で取引される。,1は債券市場の銘柄数は非常に多い。#2については格付は資金調達金利に影響を及ぼす。信用力が高いと調達金利は低くなる。#3については権利の保全を取仕切るのは、財務代理人ではなく社債管理者。,
SECT001,Q0090,債券,債券に関する次の記述のうち、正しくないものはどれですか。,同一の発行機関が発行した債券でも、満期やクーポンレートが異なれば、違う銘柄として取り扱われる。,満期以前でも、発行機関の意思で元金を償還できる形態の債券が存在する。,適債基準は廃止されており、無担保の社債でも発行することができる。,日本の債券市場では、国債と同様に、社債や地方債が大量に発行され、活発に取引されている。,【５】-,4,日本の債券市場では、国債と同様に、社債や地方債が大量に発行され、活発に取引されている。,国債の大量発行に伴って、発行市場・流通市場ともに国債に偏重した債券市場になっている点が日本の特徴である。,
SECT001,Q0100,証券化商品,証券化商品に関する次の記述のうち、正しくないものはどれですか。,日本の証券化商品は、表面的には社債やコマーシャルペーパーなどの形態をとっている。,SPEが保有できる資産はキャッシュフローさえ発生すればどのような債権でも証券化の対象となりうる。,SPEに資産を売却する金融機関や一般事業会社をオリジネータ－という。,オリジネータ－が倒産した場合、証券化のためにSPEに売却された資産は、オリジネータ－の債務弁済に用いられる。,【５】-,4,オリジネータ－が倒産した場合、証券化のためにSPEに売却された資産は、オリジネータ－の債務弁済に用いられる。,2において、SPEが保有できる資産は住宅ローン、リース債権などで、キャッシュフローさえ発生すればどのような債権でも証券化の対象となりうる。#4において証券化が成立するためには、オリジネータ－からSPEへの資産売却が真正売買であることが求められる。真正売買とは、売却 された資産が名実ともにオリジネーターから切り離されたと法的に認められる状態であるため、オリジネーターが倒産してもSPEの資産がオリジネータ－ の債務弁済に用いられることはない。#■SPE(special purpose entity)・・・証券化だけを目的に機能する機関。日本では、証券化に際して発行された証券は、社債、CPとして法的に位置づけられる。 #■オリジネーター・・・SPEに資産を売却する金融機関や一般事業会社。,
