章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT007,Q0010,棚卸資産の原価配分,棚卸資産の原価配分に関する次の記述のうち、正しくないものはどれですか。,棚卸資産には、販売を目的として保有している財貨または用益だけではなく、販売活動及び一般管理活動において短期間に消費されるべき財貨も含まれる。,棚卸資産の消費量を求めるうえで、継続記録法に定期棚卸法を併用することにより、在庫管理を改善できるだけでなく、適正な期間損益計算を行うことができる。,棚卸資産の単価を求めるための総平均法は、国際的なコンバージェンスのため、適用が認められなくなった。,棚卸資産の評価方法が異なれば、個々の会計期間の売上原価には差異が生じうるが、トータルの期間考えれば売上原価の総額には差異は生じない。,【５】-,3,【３】GDPには外国との間の要素所得移転が含まれていないが、GNIには含まれている。,国際的なコンバージェンスの観点から適用可能な棚卸資産の評価方法から削除されたのは、後入先出法である。#棚卸資産とは、販売活動をするための商製品、製造活動に必要な原料、仕掛品などを指し、次の４つのグループに分けられる。#①通常の営業過程において販売するために保有する財貨または用役・・・商品や製品（商品とは他社から仕入れた完成品、製品とは自社で生産したもの)。 証券会社が販売目的で保有している有価証券や、不動産会社が販売目的で保有している土地、建物等も棚卸資産となる。#②販売を目的として現に製造中の財貨または用役・・・仕掛品や半製品（仕掛品は製造過程にあるものでその状態では販売できないもの、半製品は製造過程ではあるがその状態で販売可能なもの）。#③販売目的の財貨または用役を生産するために短期間に消費されるべき財貨・・・原材料（製造過程で消費される原材料および購入部品を含む材料で未だ消費されてないもの）。工場で使用される消耗品、消耗工具、器具や備品が含まれる。#④販売活動および一般管理活動において短期間に消費されるべき財貨・・・工場以外で使用される消耗品、消耗工具、器具や備品。つまり、販売活動において使用される荷造用品等が該当する。
SECT007,Q0020,リース会計,リース会計に関する記述のうち、正しいものはどれですか。,ファイナンス・リースと取引はフルペイアウトを要件とするため、その判定は、リース期間がリース物件の経済的耐用年数の概ね９０％以上であるかどうかによる。,オペレーティング・リース取引であっても解約不能なものは、リース料総額を負債に計上する。,オペレーティング・リース取引に該当するか否かは、もっぱらリース料総額の現在価値とリース物件の見積購入価額の比較によって決定される。,あるリース取引をファイナンス・リース取引として会計処理すると、オペレーティング・リース取引として処理した場合に比べて、リース期間前半の費用は多くなる。,【５】-,4,結果次第で企業経営を大きく左右する事象が存在しており、その事象の結果が未確定である場合、公認会計士による監査意見の表明は差し控えられる。,１はファイナンス・リース取引の判定の１つである経済的耐用年数基準は、リース期間がリース物件の経済的耐用年数のおおむね７５％以上であるかどうかによる。#２はオペレーティング・リース取引であれば、負債に計上されない。#3はオペレーティング・リース取引に該当するか否かは、現在価値基準と経済的耐用年数基準のどちらも満たさないかどうかによって決定される。
SECT007,Q0030,退職給付会計,退職給付会計に関する記述のうち、正しいものはどれですか。,退職給付見込額の勤務期間への配分には、給付算定式基準を用いなければならない。,退職給付債務とは、退職給付のうち、決算日までに発生していると認められる部分の割引前の金額をいう。,勤務費用とは、１期間の労働の対価として発生したと認められる退職給付の現在価値をいう。,利息費用とは、期首時点における退職給付債務について、期末までの時の経過により発生する計算上の利息であり、信用リスクの高い社債の利回りを用いて算定する。,【５】-,3,企業の利益獲得に貢献するにも関わらず、会計上認識されない資産が存在する。,1は期間定額基準と給付算定式基準のいずれか選択適用による。#2は認識時点までに発生していると認められる部分を割引いたものである。#3は安全性の高い債券の利回りを基礎にして決定された割引率を適用する。#退職給付債務とは認識時点までに発生していると認められる退職給付の現在価値のことである。#１年目は１年間の労働の対価として発生した退職給付の現在価値であり、２年目以降は該当年の労働対価の現在価値に加え、前年度までの退職給付の利息分が該当年の退職給付債務となる。
SECT007,Q0040,在外支店の財務諸表項目,在外支店の財務諸表項目の換算に関する記述のうち、正しくないものはどれですか。,金銭債権債務には、取引発生時の為替レート（HR)が適用される。,収益・費用はHRで換算されるが、期中平均為替レートによる換算も認められている。,棚卸資産に低価法を適用して評価額を切りさげている場合、決算時の為替レートで換算する。,換算によって生じた差額は、為替差損益として処理する。,【５】-,1,利益情報の主要な機能は、企業に関わる当事者間の利害調整である。,本店の換算基準と整合性をもたせるため、決算日レート（CR)が適用される。
SECT007,Q0050,税効果会計,税効果会計に関する記述のうち、正しいものはどれですか。,税効果会計を適用した場合、それを適用しない場合と比べて、全期間を通算した利益は一般に減少する。,一時差異に加え、永久差異の一部も税効果の対象となる。,将来加算一時差異は繰延税金負債を計上する契機となる。,税効果会計を適用すれば、税引前利益の大きさと税引後利益の大きさとの完全な比例関係が保たれることとなる。,【５】-,3,支払配当金は、財務活動によるキャッシュフローとしなければならないが、受取配当金については、営業活動か投資活動のいずれかを選択することが認められている。,1は税金費用の期間帰属を変更しているに過ぎないため、税効果適用の有無は全期間を通算した損益に影響しない。#2は税効果の対象となるのは一時差異だけである。#4は永久差異が存在するのに加え、「繰延税金資産の回収可能性テスト」の影響等もあり、税引前利益と税引後利益との間に完全は比例関係はみられない。#税効果会計とは税支出の期間配分によって税費用と税引前利益とを対応させようとする手続きのことである。#■永久差異・・・税引前利益と課税所得の差異のうち、収益・費用と益金・損金の認識範囲の違いによるもの。#■一時差異・・・税引前利益と課税所得の差異のうち、認識時点の違いによるもの。#一時差異は将来解消される差異であり、税効果会計の対象となる。
SECT007,Q0060,財務諸表分析,財務諸表分析に関する記述のうち、正しくないものはどれですか。,棚卸資産回転率の計算は、分子を売上原価とすることも考えられる。,大型投資を行った場合は、有形固定資産回転率は一時的に下がることがあるため、数値の評価は慎重に行う必要がある。,手元流動性比率はもっぱら支払能力を判断する指標として用いられるので、その数値は高いほどよい。,売上債権回転率を算出する歳の売上債権には、受取手形の割引高と裏書譲渡高を含めることが必要である。,【５】-,3,包括利益には、金融商品の時価評価損益に加え、建物や借入金などの全ての資産及び負債に関する時価評価損益が 含まれている。,手元流動性は資金効率を示す指標であるため、必ずしも高いほうが望ましいわけではない。#売上債権回転率＝売上高 / 売上債権（＝受取手形＋売掛金＋割引・裏書手形）#棚卸資産回転率＝売上高 / 棚卸資産 #有形固定資産回転率＝売上高 / 有形固定資産#手元流動性回転率＝売上高 / (現金 + 有価証券)
SECT007,Q0070,配当割引モデルに関する問題,配当割引モデルの適用に関する記述のうち、正しくないものはどれですか。,企業価値評価額に占めるターミナル・バリューの割合は、他のモデルに比べて大変少ない。,将来の配当を未来永劫にわたり予測することは困難である。,配当を長期に渡って一切支払わない企業には適用が困難である。,キャピタルゲインに対する税率がインカムゲインに対する税率よりも低い場合、長期渡り配当性向が低く抑えられ、企業価値を過小評価してしまう。,【５】-,1,引当金が計上されると、流動資産が増加する。,ターミナル・バリューの割合が少ないのは残余利益モデルである。
SECT007,Q0080,残余利益モデル,残余利益モデルの適用に関する記述のうち、正しくないものはどれですか。,残余利益は、企業が株主のために資本コストを上回って創造した利益を示す指標である。,残余利益モデルによる株主評価額は、会計手続き変更の影響を受けやすい。,残余利益モデルは、クリーンサープラス会計を前提としている。,残余利益モデルによって株式評価額を計算する際には、期首株主資本簿価が必要である。,【５】-,2,試用販売においては、商品を引渡した時点で収益認識を行い、返品された場合は収益の取消しを行う。,残余利益モデルによる株式評価額は、会計手続き変更の影響を受けにくい。#残余利益モデルとは株主資本簿価と将来の残余利益を用いて株式の内在価値を表すモデル。残余利益モデルは、配当割引モデルのうち、将来の配当を会計数値で表現し直したモデルであるが、残余利益モデルの導出を行う前提として、クリーンサープラス 関係が成り立っている必要がある。
SECT007,Q0090,定率法による減価償却費,2016年4月1日に1200千円で取得した設備について、定率法の償却率を定額法の償却率の2.5倍に設定して（いやゆる250%償却で)計算する場合、 1年目の減価償却費はいくらですか。なお、耐用年数5年、残存価額１円とする。,500千円,240千円,480千円,600千円,【５】-,4,損失は、売上高の獲得に貢献しているとみなされている。,耐用年数5年の定率法による償却率は、1÷5(耐用年数)×2.5(250%)=0.5となる。#よって、1200千円×0.5=600千円。
SECT007,Q0100,株主に帰属するFCF,当期純利益:1000千円、運転資本の増加:800千円、減価償却費:370千円、設備投資:450千円、新規借入:500千円、借入金返済:720千円とした時、株主に帰属するフリーキャッシュフローはいくらですか。,△340千円,△100千円,800千円,1440千円,【５】-,2,定額法による減価償却費の計算には、取得価額、残存価額、耐用年数が必要である。,フリーキャッシュフロー・・・企業がその所有者に対して分配することが可能な現金（キャッシュ)。#株主に帰属するフリーキャッシュフロー=当期純利益 + 減価償却費 - 運転資本の増加 - 設備投資 + 新規借入 - 借入金返済##※減価償却費を足し戻す必要がある理由・・・費用として当期純利益から差し引かれているにも関わらず 実際のキャッシュは出て行かないからである。建物を耐用年数５年で５００万で購入した場合には 減価償却費は１００万費用として、当期純利益から引かれるが、実際には建物を購入した年に５００万 設備投資としてキャッシュはでていっており（-５００万）、費用として引かれる減価償却費は キャッシュとして出て行かないのに、当期純利益からひかれているため、これを足し戻す必要がある。
