章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT002,Q0010,現金・預金,商品￥100を売り上げ、他店振出しの小切手を受け取った。,現金,100,売上,100,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,他店振出しの小切手を受け取った場合、「現金」（資産）として仕訳します。#よって、#（借方）現金100「資産の増加」#（貸方）売上100「収益の増加」#となります。#　#オマケ情報#小切手は銀行に持ち込むとすぐに現金に換えてくれます。#そこで、「小切手＝現金」とみなしてしまうわけです。#なお、小切手等の換金がとても容易な「通貨代用証券」と呼ばれるものが小切手以外にもいくつかありますが、簿記試験上、以下のものを覚えておいてください。#・郵便為替（かわせ）証書・・・送金を郵便で受けた際に現金を受け取るために必要な引換証#・配当金領収書・・・株式配当金を受け取るための引換証#・利息の支払日を過ぎた公社債の利札（クーポン）・・・公社債の利息を受け取るための引換証#これらは、「現金」とみなして仕訳します。
SECT002,Q0020,現金・預金,商品￥300を売り上げ、郵便為替証書を受け取った。,現金,300,売上,300,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,郵便為替証書を受け取った場合、「現金」（資産）として仕訳します。#よって、#（借方）現金300「資産の増加」#（貸方）売上300「収益の増加」#となります。
SECT002,Q0030,現金・預金,￥200の配当金領収書を受け取った。,現金,200,受取配当金,200,現金,当座預金,有価証券,受取利息,有価証券利息,受取配当金,-,-,-,-,-,-,配当金領収書を受け取った場合、「現金」（資産）として仕訳します。#また、その際には「受取配当金」（収益）を仕訳します。#よって、#（借方）現金200「資産の増加」#（貸方）受取配当金200「収益の増加」#となります。
SECT002,Q0040,現金・預金,所有している社債の利札￥100が支払期日を迎えた。,現金,100,有価証券利息,100,現金,当座預金,有価証券,受取利息,有価証券利息,受取配当金,-,-,-,-,-,-,所有している社債の利札（クーポン）が利息の支払日を過ぎた場合、「現金」として仕訳します。#また、その際には「有価証券利息」（収益）を仕訳します。#よって、#（借方）現金100「資産の増加」#（貸方）有価証券利息100「収益の増加」#となります。#　#オマケ情報#簿記では、株式や社債券を「有価証券」と呼びます。
SECT002,Q0050,現金・預金,商品￥300を仕入れ、小切手を振出した。,仕入,300,当座預金,300,現金,当座預金,売掛金,買掛金,売上,仕入,-,-,-,-,-,-,小切手を振出した場合、「当座預金」（資産）の減少として仕訳します。#よって、#（借方）仕入300「費用の増加」#（貸方）当座預金300「資産の減少」#となります。#　#オマケ情報#一般の人には馴染みのないものですが、「当座預金」という預金があります（一般の人がお金を預けているのは「普通預金」といいます。）。#この「当座預金」にお金を預けていると、銀行から小切手帳をもらえます。#この小切手帳の1枚（小切手）に金額を書いて切り取り相手に渡すことを「小切手を振出す」といいます。#振出された相手はこの小切手を銀行に持ち込むことにより、現金を受け取れるということになります。
SECT002,Q0060,現金・預金,商品￥400を売上げ、小切手を受け取り、直ちに当座預金に預け入れた。,当座預金,400,売上,400,現金,当座預金,売掛金,買掛金,売上,仕入,-,-,-,-,-,-,小切手を受け取り、直ちに自らの当座預金に預け入れた場合には、現金として仕訳はせず、直接「当座預金」の増加として仕訳をします。#よって、#（借方）当座預金400「資産の増加」#（貸方）売上400「収益の増加」#となります。
SECT002,Q0070,現金・預金,商品￥400を売上げ、当店振出しの小切手￥300と他店振出しの小切手￥100を受け取った。,当座預金,300,売上,400,現金,当座預金,売掛金,買掛金,売上,仕入,-,-,-,-,-,-,他店の振出した小切手を受け取った場合は「現金」の増加として仕訳しますが、以前に当店が振出した小切手を受け取った場合、「当座預金」の増加として仕訳します。#よって、#（借方）当座預金300「資産の増加」#（借方）現金100「資産の増加」#（貸方）売上400「収益の増加」#となります。#　#オマケ情報#以前当店が小切手を振出した際には「当座預金の減少」と仕訳をしていました。#しかし、それが当店の手もとに戻ってきたということは、結局当座預金からお金は引き出されずに済んだということになります。#そこで、過去にマイナスしていた金額を元に戻してあげる仕訳をするということになるのです。
SECT002,Q0071,現金・預金,-,現金,100,-,-,現金,当座預金,売掛金,買掛金,売上,仕入,-,-,-,-,-,-,-
SECT002,Q0080,現金・預金,商品￥300を仕入れ、小切手を支払ったが当座預金残高は￥100だった。なお、当店は当座借越契約を結んでいる。,仕入,300,当座預金,100,当座預金,売掛金,当座借越,買掛金,売上,仕入,-,-,-,-,-,-,当座預金の残高を超えて小切手を振出した場合、超えた部分の金額については「当座借越」（負債）の増加として仕訳します。#よって、#（借方）仕入300「費用の増加」#（貸方）当座預金100「資産の減少」#（貸方）当座借越200「負債の増加」#となります。#　#オマケ情報#当店が銀行と「当座借越契約」を結んでいた場合、当座預金の残高を超えた小切手を振出しても、「一時的にお金を貸してくれる」ことによって、銀行が立て替えてくれます。#これは、れっきとした「借金」ですので、残高を超えた部分は「負債」として仕訳をすることになるわけです。
SECT002,Q0081,現金・預金,-,-,-,当座借越,200,当座預金,売掛金,当座借越,買掛金,売上,仕入,-,-,-,-,-,-,-
