章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT005,Q0010,GDPとGNI,GDPとGNIの違いに関して、正しいものはどれか。,【１】GDPは市場価格表示であり、GNIは要素価格表示である。,【２】GDPには減価償却費が含まれていないが、GNIには減価償却費が含まれている。,【３】GDPには外国との間の要素所得移転が含まれていないが、GNIには含まれている。,【４】GDPには生産輸入品に課されている税が含まれていないが、GNIには含まれている。,【５】-,3,【３】GDPには外国との間の要素所得移転が含まれていないが、GNIには含まれている。,正解は選択肢3。#選択肢３の文中で「外国との間の要素所得移転」とは、国内総支出勘定上の「海外からの所得」、「(控除)海外に対する所得」のこと。他の選択肢は国内総生産と国内総支出勘定をみれば明らかに誤りである。
SECT005,Q0020,要素費用表示の国民所得,要素費用表示の国民所得に含まれる項目として、正しくないものはどれか。,【１】配当にかかる所得,【２】雇用者報酬,【３】生産・輸入品に課される税,【４】海外からの所得,【５】-,3,【３】生産・輸入品に課される税,正解は選択肢3。#配当にあてられるべき所得は、国民所得中の営業余剰・混合所得に含まれる。生産・優乳品に課される税は、要素費用表示の国民所得には含まれない
SECT005,Q0030,国内総支出の押上げ要因,国内総支出を直接引き上げる要因として、正しくないものはどれか。,【１】設備投資の拡大,【２】輸入の減少,【３】在庫の増加,【４】株価の上昇,【５】-,4,【４】株価の上昇,正解は選択肢4。#国民所得にはキャピタルゲインは含まれない。
SECT005,Q0040,国民所得の内容,次のうち国民経済計算上に含まれないものはどれですか。,【１】サラリーマンが社内でスポーツ新聞を読んでいる。,【２】サラリーマンが会社の裏庭で不要の在庫品を焼却処分する,【３】失業中の者が家事を行う。,【４】政府が失業者を雇用し、何もさせずに給料を支給する。,【５】-,3,【３】失業中の者が家事を行う。,正解は選択肢3。#選択肢１、２、４はいずれも支給される給料が国民所得統計上の雇用者報酬を構成する。
SECT005,Q0050,国民所得の定義(1),国民所得の定義に関して、正しいものはどれか。,【１】国内総生産は市場価格をベースに測定されるのが原則であるので、市場価格ベースの国民所得と概念的に一致するが、要素費用ベースの国民所得とは生産・輸入品に課される税の部分だけ相違する。,【２】国民所得は、雇用者報酬、営業余剰・混合所得、財産所得、生産・輸入品に課される税及び補助金等を加味したものである。,【３】国民所得は、雇用者報酬、営業余剰、財産所得、直接税及び補助金等を加味したものである。,【４】利子や株式配当は、生産と関係がないために国民所得には含まれないし、同様に地価の上昇などのキャピタルゲインも生産と関係がないために国民所得に含まれない。,【５】-,2,【２】国民所得は、雇用者報酬、営業余剰・混合所得、財産所得、生産・輸入品に課される税及び補助金等を加味したものである。,正解は選択肢2。#選択肢１に関して、国内総生産が国内概念であるのに対して国民所得は国民概念なので両者はそもそも一致しない。#国民所得の項目としては選択肢３に挙げられている直接税は登場しない。#選択肢４の利子、配当は国民所得中に所得として含まれている。#選択肢２の財産所得は、利子や配当のことである。海外からの所得(純)のうち大きなものは、この利子や配当による所得である。
SECT005,Q0060,GDPの定義(2),GDPに関して正しいものはどれか。,【１】国内総生産は、国民所得のもとになる付加価値の生産のことで、それが雇用者や資金提供者に分配され、残りが企業利潤となる。,【２】国内総支出には輸出入が含まれず、また、国内総支出は国内総生産と一致するので、輸出入は国内総生産には含まれない。,【３】国内総生産は、国内で活動する企業が生産した製品やサービスを、市場での取引価格で評価した金額である。,【４】政府活動も付加価値を生み出しているので、その対価として法人税、所得税などの税金は、国内総生産の要素である。,【５】-,1,【１】国内総生産は、国民所得のもとになる付加価値の生産のことで、それが雇用者や資金提供者に分配され、残りが企業利潤となる。,正解は選択肢1。#国内総生産は付加価値を意味するということがポイントである。選択肢１の出題記述は極めて抽象的であるが、むしろ、このような選択肢を正しいものとして選ばせるという事実を知っておくべきである。#選択肢２は国内総生産には、輸出入が関係するということ。選択肢３は、製品とサービスの生産主体を国内の企業と限定していることが問題である。#選択肢４は法人税、所得税のような直接税は国内総生産に関係ないということがポイント。
SECT005,Q0070,GDPの定義(3),米国籍の会社による日本における生産活動の結果として生じた付加価値は、どのように扱われるのか。次のうち正しいものはどれか。,【１】日本のGDPとなる。,【２】米国のGDPとなる。,【３】両国のGDPのいずれにも含まれる。,【４】両国のどちらのGDPにも含まれない。,【５】-,1,【１】日本のGDPとなる。,正解は選択肢1。#国内の法人事業所は、国籍を問わず、その国の所得として扱われる。
SECT005,Q0080,メーカーの海外移転とGDP,わが国のメーカーの製造拠点が海外に移転した場合の影響として、正しくないものは次のうちどれか。,【１】国内の当該メーカーに対する需要量に変化がなく、海外生産の製品が日本に輸出されたとすると、わが国の実質GDPを減少させる。,【２】このメーカーの海外拠点から国内に向け配当がなされると、国民所得の増加要因になる。,【３】生産拠点がどこでも、連結上の利益に影響がないことから、国民所得(国民概念)にも影響を与えない。,【４】生産拠点が海外に移転すると、その分国内雇用が減少するので、国民所得の減少要因となる。,【５】-,3,【３】生産拠点がどこでも、連結上の利益に影響がないことから、国民所得(国民概念)にも影響を与えない。,正解は選択肢3。#国民所得の国民概念は、日本国内に生産拠点があるものが生み出した付加価値を合計したものなので、海外に生産拠点があれば、その分は海外の国民所得に含まれることになるので、選択肢３は誤り。#他の選択肢については、正しい。
SECT005,Q0090,輸出とGDP,わが国の景気と輸出に関して、正しくないものはどれか。,【１】輸出が増えても、その需要主体は海外なので、国内における支出である公共投資と異なり、乗数効果は生じない。,【２】これまで、国内景気が悪化すると輸出が増えるという、輸出ドライブ効果が見られた。,【３】産業の空洞化の進展によって、輸出ドライブ効果と輸出の乗数効果の低下が両方見られるようになった。,【４】景気後退期に輸出が増えるのは、国内の販売の減少を、海外市場で補おうとするからである。,【５】-,1,【１】輸出が増えても、その需要主体は海外なので、国内における支出である公共投資と異なり、乗数効果は生じない。,正解は選択肢1。#選択肢１のように、輸出が増えると乗数効果が発生する。すなわち、GDPの構成項目である各需要項目としては、投資I、政府支出G、輸出Xのいずれの増加も、全く同じ乗数効果をもたらす。#選択肢２、３の「輸出ドライブ」とは何らかの理由で輸出が急激に増加することを指す。
SECT005,Q0100,生産・所得・支出,国民経済計算は、生産面、所得面、支出面から把握されるが、次の記述のうち正しいものはどれか。,【１】その期に生産されたものが完売されることはまれで、一部売れ残りが生ずることから、生産と支出はたえず等しくなるというわけではない。,【２】分配された所得の全てが支出されることなく、その一部は貯蓄されるので、所得と支出は等しくならない。,【３】その期に生産された付加価値は、企業や従業員などいずれかに必ず分配されることから、生産と所得は等しくなる。,【４】分配された所得以上に支出する場合には、貯蓄のマイナスとして処理するので、所得と支出は計算上必ず等しくなる。,【５】-,3,【３】その期に生産された付加価値は、企業や従業員などいずれかに必ず分配されることから、生産と所得は等しくなる。,正解は選択肢3。#国民経済計算に関する三面等価の原則の意味を問う問題。それぞれの次の通り。#選択肢１は、売れ残り部分は在庫投資に含めるため、生産と支出は必ず一致する。#選択肢2については、個別の主体としてはまさにその通りだが、マクロ的に見た場合、貯蓄は金融の機能を通じて他の主体によって支出として利用されるので、所得と支出は必ず一致する。#選択肢3は正しい記述である。#選択肢4は国民経済計算において、そのような処理は行われないので誤りである。
