章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT001,Q0010,商品売買（３分法）,商品￥100を仕入れ代金は掛とした。,仕入,100,買掛金,100,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,3分法では商品を買った時には「仕入（費用）」、商品を売った時には「売上（収益）」を使います。#また、その代金を「掛け」とする場合、買った時の掛けは「買掛金（負債）」、売った時の掛けは「売掛金（資産）」を使います。#本問は、掛けで商品を買った時の仕訳ですので#（借方）仕入100「費用の増加」#（貸方）買掛金100「負債の増加」#となります。# #オマケ情報#「掛け」とはいわゆる「ツケ」のことです。#よくドラマ等でオジサンが行きつけのスナックのママさんに「ママ、今日の代金はツケといて～」なんて言うシーンがありますよね。#この場合ツケておいてとは「今度払います」ということを意味する口約束のことです。払う側（オジサン）からすればプチ借金にあたるので負債。もらう側（ママさん）からすればプチ貸付金にあたるので資産になります。#これは、買う側と売る側のお互いにある程度信頼関係がある場合のみに成り立つ方法ですね。
SECT001,Q0020,商品売買（３分法）,商品￥300を仕入れ、￥100は現金で支払い、残額は掛とした。,仕入,300,現金,100,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,現金と掛けで仕入を行った場合、#（借方）仕入300「費用の増加」#（貸方）現金100「資産の減少」#（貸方）買掛金200「負債の増加」#と貸方側だけ複数の勘定を仕訳します。
SECT001,Q0021,商品売買（３分法）,-,-,-,買掛金,200,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,-
SECT001,Q0030,商品売買（３分法）,商品￥400を売上げ、代金は掛とした。,売掛金,400,売上,400,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,商品を掛けで売った時には#（借方）売掛金400「資産の増加」#（貸方）売上400「収益の増加」#と仕訳します。
SECT001,Q0040,商品売買（３分法）,先日仕入れた商品の内、￥100を返品した（掛と相殺すること）。,買掛金,100,仕入,100,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,以前仕入れた商品を返品した場合、仕入れた時の「借方と貸方を逆にした仕訳」をします。#よって、#（借方）買掛金100「負債の減少」#（貸方）仕入100「費用の減少」#となります。# #オマケ情報#このような仕訳を「逆仕訳」と呼びます。#今後もこの逆仕訳はよく出てきますので覚えておいてください。
SECT001,Q0050,商品売買（３分法）,先日仕入れた商品に対して、￥200の値引きを受けた（掛と相殺すること）。,買掛金,200,仕入,200,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,以前仕入れた商品を値引きしてもらった場合、返品の時と同様、仕入れた時の逆仕訳をします。#よって、#（借方）買掛金200「負債の減少」#（貸方）仕入200「費用の減少」#となります。
SECT001,Q0060,商品売買（３分法）,先日売上げた商品の内、￥100が返品された（掛と相殺すること）。,売上,100,売掛金,100,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,以前売上げた商品を返品された場合、仕入の時と同様逆仕訳を行います。#よって、#（借方）売上100「収益の減少」#（貸方）売掛金100「資産の減少」#となります。
SECT001,Q0070,商品売買（３分法）,先日売上げた商品に対して、￥200の値引きを行った（掛と相殺すること）。,売上,200,売掛金,200,現金,売掛金,買掛金,繰越商品,売上,仕入,-,-,-,-,-,-,以前売上げた商品を値引きした場合、返品の時と同様逆仕訳を行います。#よって、#（借方）売上200「収益の減少」#（貸方）売掛金200「資産の減少」#となります。# #オマケ情報#要は、返品と値引きは買った方だろうが売った方だろうがとにかく逆仕訳をしておくわけですね。
SECT001,Q0080,商品売買（３分法）,商品￥600を仕入れ、代金は掛とした。なお、商品を引き取る際に、現金￥100を運送会社に払った。,仕入,700,買掛金,600,現金,売掛金,買掛金,繰越商品,仕入,発送費,-,-,-,-,-,-,商品を仕入れる際に払った運送料は「仕入」に含めます。#よって、#（借方）仕入700「費用の増加」#（貸方）買掛金600「負債の増加」#（貸方）現金100「資産の減少」#となります。
SECT001,Q0081,商品売買（３分法）,-,-,-,現金,100,現金,売掛金,買掛金,繰越商品,仕入,発送費,-,-,-,-,-,-,-
SECT001,Q0090,商品売買（３分法）,商品￥500を売上げ、代金は掛とした。なお、商品の発送費用￥100は現金で支払った（当方負担）。,売掛金,500,売上,500,現金,売掛金,繰越商品,売上,仕入,発送費,-,-,-,-,-,-,商品を売った時の発送費用を当店が負担する場合（当方負担と言います。）「発送費」という費用を使います。#よって、#（借方）売掛金500「資産の増加」#（借方）発送費100「費用の増加」#（貸方）売上500「収益の増加」#（貸方）現金100「資産の減少」#となります。
SECT001,Q0091,商品売買（３分法）,-,発送費,100,現金,100,現金,売掛金,繰越商品,売上,仕入,発送費,-,-,-,-,-,-,-
