章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT010,Q0010,株式流通市場,株式流通市場に関する次の記述のうち、正しくないものはどれですか。,主に新興企業株を取扱ってきたジャスダックは、現在では証券取引所になっている。,日本では、取引開始時には、「板寄せ」方式で約定価格が決められる。,証券会社が提供する私設取引システムは、立会外取引と位置づけられる。,日本では、当日約定された株価を約定株数で加重平均した価格で株式の発注を行うことができる。,【５】-,3,証券会社が提供する私設取引システムは、立会外取引と位置づけられる。,立会外取引は、東京証券取引所のTosTNetのように、証券取引所の提供するシステムを用いて証券取引所内で行われている相対取引を指す。 証券会社が提供する私設取引システムは、取引所外取引と呼ばれている。
SECT010,Q0020,証券流通市場,証券流通市場に関する次の記述のうち、正しくないものはどれですか。,株式派生商品には、株価指数連動型債券や個人投資家向けのオプション（カバード・ワラント）などが含まれる。,日本の証券取引所における株式売買では、マーケットメイキング型の約定方式を採用している。,機関投資家が証券会社に大量の発注をする場合、VWAP(volume weighted average price)を指定する場合が増えている。,レポ市場は、投資家が保有している現物の活用や資金調達のための手段としても用いられている。,【５】-,2,日本の証券取引所における株式売買では、マーケットメイキング型の約定方式を採用している。,日本の証券取引所が採用しているのは、マーケットメイキング型ではなくオーダードリブン型である。#債券の貸借市場（レポ市場）・・・元来は空売りした債券の現物を調達するための市場であるが、現先市場的に、資金運用や資金調達のために 用いることも可能である。
SECT010,Q0030,株式派生商品市場,株式派生商品市場に関する次の記述のうち、正しくないものはどれですか。,個別株式を対象とするオプション取引は、リスクの高さを理由に日本では採用されていない。,株式派生商品市場では、売りと買いのどちらのポディションでも作ることができる。,株式派生商品には、証券会社と相対で契約するものも存在する。,株価指数先物価格と株価指数の水準に大幅な乖離が生じた場合には、裁定取引で利益を得ることが可能になる。,【５】-,1,個別株式を対象とするオプション取引は、リスクの高さを理由に日本では採用されていない。,個別株式を対象とする株券オプション（有価証券オプション）は、日本でも取引されている。
SECT010,Q0040,証券会社,証券会社に関する次の記述のうち、正しいものはどれですか。,PTS業務は、金融商品取引法によって登録制となった。,資金調達に関する業務であるアンダーライティングにおいて、アンダーライターにはリスクが発生しない。,証券ビッグバンにより、証券会社の営業収益は、株式売買委託手数料への依存度が上昇した。,ディーリングを業務として行うために、証券会社は自己の勘定で有価証券を保有する必要がある。,【５】-,4,ディーリングを業務として行うために、証券会社は自己の勘定で有価証券を保有する必要がある。,1:PTS業務は取引所と類似の機能を提供するため、金融商品取引業者とし登録を受けた上で、認可を要することとされている。#2:資金調達者の資金調達を確実なものにするため、アンダーライターは残額引受あるいは資金引受によりリスクを負担する。#3:証券ビッグバンにより、株式売買委託に関する手数料が完全自由料率制へ移行したため、証券会社において株式委託手数料が占める営業収益 の割合は低下した。#4:ディーリングでは、投資家が売り注文を出した場合、それを買い取らねばならない可能性が高い。逆に投資家の買い注文に即座に 対応するため、買い注文の出そうな証券を日頃から保有する必要があり、証券会社は自分自身の勘定で有価証券を保有する。#■アンダーライター・・・資金調達に関する情報を収集し、資金調達者に対して提供する。新規発行証券の発行条件を決定する。アンダーライターは 売出した証券が売れ残った場合は自らの資金で、売れ残った証券を買い取る。これが、アンダーライターのリスクとなる。#■ディーラー・・・証券の売買注文を取扱う。自己勘定で株式を保有し、自己勘定で顧客の売買注文に応じる金融仲介機関。
SECT010,Q0050,証券会社,証券市場に関する次の記述のうち、正しいものはどれですか。,ブローカレッジでは、投資家の買い注文に応じるため、日頃から在庫を持つ必要がある。,証券業は免許性である。,年金基金は機関投資家の１つである。,債券の場合、最大の保有者は海外投資家である。,【５】-,3,年金基金は機関投資家の１つである。,1:投資家の買い注文に応じるために日頃から在庫を持つ必要があるのはディーリングである。#2:証券業は原則として内閣総理大臣への登録制である。#4:最大の保有者は国内の機関投資家と金融機関である。
SECT010,Q0060,景気動向指数,景気拡大期の景気動向指数に関する次の記述のうち、正しいものはどれですか。,所定外労働時間指数の上昇は、景気拡大に伴う企業活動の活発化を表しており、一致系列である。,大口電力使用量は、景気拡大に伴い上昇することから、先行系列である。,法人税収入の増加は、景気拡大が企業業績へ反映した結果であり、一致系列である。,有効求人倍率は、景気拡大に備えて雇用を拡大することから、先行系列である。,【５】-,1,所定外労働時間指数の上昇は、景気拡大に伴う企業活動の活発化を表しており、一致系列である。,2:大口電力使用量は一致系列である。#3:法人税収入は遅行系列である。#4:有効求人倍率は一致系列である。
SECT010,Q0070,セグメント情報,会計基準に従って開示されたセグメント情報に関する次の記述のうち、正しいものはどれですか。,セグメント情報は、マネジメント・アプローチではなく、取引所による事業セグメント定義に基づいて開示される。,事業セグメントとは、企業の意思決定に従って経営資源が配分され、収益・費用が生じ、分離された財務情報が入手できるものである。,売上高、利益、資産で１０％以上の量的基準に満たないセグメントは、報告セグメントとして開示してはならない。,報告セグメントの外部顧客への売上高の合計額が７５％未満の場合は、それ以上セグメントを追加する必要はない。,【５】-,2,事業セグメントとは、企業の意思決定に従って経営資源が配分され、収益・費用が生じ、分離された財務情報が入手できるものである。,1:開示はマネジメント・アプローチによる。#3:開示義務はないが、開示しても問題ない。#4:報告セグメントの外部顧客への売上高の合計額が７５％以上となるまで、事業セグメントを追加する必要がある。
SECT010,Q0080,企業収益,企業収益に関する次の記述のうち、正しいものはどれですか。,事業利益は本業の収益力を表す利益で、受取利息・配当金なで金融収益を含まない。,営業利益は営業活動から得られる利益を表し、売上高から売上原価を控除した利益である。,経常利益は営業利益に金融収益や金融費用など営業外損益を加算した利益である。,営業外収益には利息や配当金の受取り、営業外費用には利息や配当金の支払いが含まれる。,【５】-,3,経常利益は営業利益に金融収益や金融費用など営業外損益を加算した利益である。,1:事業利益は営業利益と財務活動からの金融収益の合計であり、受取利息や配当金も含む。#2:営業利益＝売上高　－　売上原価　－　販売非及び一般管理費。#4:配当金の支払いは営業外費用には含まれない。税引後の当期純利益から支払がされる。その他記載は合っている。#事業利益とは営業活動からの営業利益と財務活動からの金融収益の合計。#i.e.事業利益　＝　営業利益　＋　受取利息　＋　受取配当金　＋　持分投資損益
SECT010,Q0090,EPS,ROEが２０％、ROAが１６％、BPS（1株あたり純資産）が100円のとき、EPS（1株当たり当期純利益）はいくらですか。なお、ROE、ROA、BPS、EPSの分母は 期末値とする。,16円,20円,26円,10円,【５】-,2,20円,それぞれの意味は下記の通りであるので、EPS＝ROE×BPSで求められる。分母と分子の自己資本が相殺される。#よって、0.2×100円=20円となる。#■ROE(Return on Equity：株主資本利益率)・・・当期純利益/自己資本#■ROA(Return on Assets：総資産利益率)・・・当期純利益/総資産#■BPS(Book-value per Share:一株あたり純資産)・・・自己資本(純資産)/期末発行済株式数#■EPS(Earning per Share：一株あたり利益)・・・当期純利益/普通株式の期中平均発行済株式数
SECT010,Q0100,ROE,売上高当期純利益率が2％、総資本回転率が5回、財務レバレッジが2倍のとき、ROEはいくらですか。,0.8％,4.0％,8.0％,20.0％,【５】-,4,20.0％,ROE＝売上高当期純利益率×総資本回転率×財務レバレッジで求められる。#よって、0.02×5×2=0.2=20％となる。
