章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT006,Q0010,GDPとGNI,GDPとGNIの違いに関して、正しいものはどれか。,【１】GDPの市場価格表示であり、GNIは要素価格表示である。,【２】GDPには減価償却費が含まれていないが、GNIには減価償却費が含まれている。,【３】GDPには外国との間の要素所得移転が含まれていないが、GNIには含まれている。,【４】GDPには生産輸入品に課されている税が含まれていないが、GNIには含まれている。,【５】-,3,【３】GDPには外国との間の要素所得移転が含まれていないが、GNIには含まれている。,選択肢３の文中で「外国との間の要素所得移転」とは、国内総支出勘定上の「海外からの所得」、「(控除)海外に対する所得」のこと。他の選択肢は国内総生産と国内総支出勘定をみれば明らかに誤りである。
SECT006,Q0020,会計制度,会計制度に関する記述のうち、正しくないものはどれですか。,会計制度を設ける意義の１つは、計算・開示のルール決定における共通部分を標準化することで、交渉コストの削減を図ることである。,「一般に公正妥当と認められる企業会計の基準」には、民間団体である企業会計基準委員会が正式な手続きを経て公表した会計基準も含まれる。,金融商品取引法が求める情報と会社法が求める情報は一元化されており、問題となりうる差異は解消されている。,結果次第で企業経営を大きく左右する事象が存在しており、その事象の結果が未確定である場合、公認会計士による監査意見の表明は差し控えられる。,【５】-,3,金融商品取引法が求める情報と会社法が求める情報は一元化されており、問題となりうる差異は解消されている。,金融商品取引法上の財務諸表と会社法のもとで要求される計算書類には相違があり、その相違には無視できないものもある。
SECT006,Q0030,会計情報の限界,会計情報の限界に関する記述のうち、正しくないものはどれですか。,企業の利益情報をファンダメンタル分析で用いる場合、与えられた情報を分析目的に応じて修正することは望ましくない。,会計情報等の定量的な情報には、観察された事実の一部が脱落するという一般的な限界を有する。,企業の利益獲得に貢献するにも関わらず、会計上認識されない資産が存在する。,会計情報は過去の実績であるが、その測定のために、将来の見積もりが必要となる場合がある。,【５】-,1,企業の利益情報をファンダメンタル分析で用いる場合、与えられた情報を分析目的に応じて修正することは望ましくない。,企業の利益情報をファンダメンタル分析で用いる場合、会計情報を分析目的に応じて適宜修正する必要がありうる
SECT006,Q0040,利益情報の役割,利益情報の役割に関する記述のうち、正しくないものはどれですか。,利益情報の主要な機能は、企業に関わる当事者間の利害調整である。,利益の額は、会社法が規制する分配可能額の計算に利用される。,利益の額は、実現基準で計算されているため、経営者の業績見通しは反映されていない。,利益の額は、法人の課税所得の計算では、全く考慮されておらず、課税所得は別途計算される。,【５】-,2,利益の額は、会社法が規制する分配可能額の計算に利用される。,利益情報は、利害調整機能よりも、投資家への情報提供機能を重視して作成されているため正しい。#会計方針の選択など、経営者による裁量的行動によって、経営者の業績見通しが利益に反映されることがある。 例えば、複数年に跨り使用する機械等の減価償却費の設定等経営者の業績見通しにより利益が変わってくる場合がある。#課税所得の計算は、税引前利益（法人税等調整前の利益)をベースに計算され、利益の額も、一定程度考慮されている。
SECT006,Q0050,キャッシュフロー計算書,キャッシュフロー計算書に関する記述のうち、正しくないものはどれですか。,キャッシュフローは、その計算過程において判断や見積りなどの裁量の働く余地が少ないため、会計利益数値よりも硬度が高い。,わが国の上場企業では、営業キャッシュフローを間接法で表示している企業がほとんどあり、直接法を採用している企業はきわめて稀である。,支払配当金は、財務活動によるキャッシュフローとしなければならないが、受取配当金については、営業活動か投資活動のいずれかを選択することが認められている。,フリーキャッシュフローとは、企業が通常の事業活動に必要となる運転資本投資と配当金の支払いを行った後に残ったキャッシュである。,【５】-,4,フリーキャッシュフローとは、企業が通常の事業活動に必要となる運転資本投資と配当金の支払いを行った後に残ったキャッシュである。,3については継続適用を条件に以下の２パターンのどちらかを選択可能。#①受取利息・配当金→投資活動、支払利息・配当金→財務活動 #②受取利息・配当金、、支払利息→営業活動、支払配当金→財務活動#4についてはフリーキャッシュフローとは、企業が通常の事業活動に必要となる運転資本投資の支払いを行った後に残ったキャッシュで、配当金の支払いを行う前のキャッシュ。
SECT006,Q0060,包括利益,包括利益に関する記述のうち、正しくないものはどれですか。,包括利益の表示は１計算書方式、２計算書方式のいずれも認められている。,包括利益は、当期純利益に、その他有価証券評価差額金や繰延ヘッジ損益などのその他の 包括利益累計額（従来の評価・換算差額等)を加減して、表示される。,包括利益には、金融商品の時価評価損益に加え、建物や借入金などの全ての資産及び負債に関する時価評価損益が 含まれている。,包括利益は、親会社株主に係わるものであり、少数株主に係わる包括利益は、包括利益が表示される計算書に注記される。,【５】-,4,包括利益は、親会社株主に係わるものであり、少数株主に係わる包括利益は、包括利益が表示される計算書に注記される。,1は2010年6月に企業会計基準委員会から公表された企業会計基準第２５号「包括利益の表示に関する会計基準」 では、包括利益を表示する計算書として、次の２つの計算書方式を認めている。#2計算書方式・・・当期純利益を表示する計算書と包括利益を表示する包括利益計算書からなる形式#1計算書方式・・・当期純利益の表示と包括利益の表示を１つの計算書で行う方式#包括利益は当期純利益に、その他の包括利益を加減して表示される。#包括利益であっても、全ての時価評価損益が含まれているわけではない。#包括利益は、親会社株主に係わる分と少数株主に係わる和からなり、これらはいずれも包括利益が表示される計算書に付記される。#■包括利益・・・包括利益＝当期純利益＋その他の包括利益となる。その他の包括利益とは、包括利益には含まれるが当期純利益の構成要素にはならないもので、 具体的にはその他有価証券評価差額金（長期保有目的の有価証券の帳簿価格と時価の差額）の当期増減額や、 為替換算調整勘定（為替レートの変動による海外子会社の資産価値の増減）の当期増減額です。 ざっくり言えば企業が保有する資産・負債の時価の変動額です。■包括利益と当期純利益の違い・・・当期純利益は1年間の収益から費用をひいた金額、包括利益は1年間の純資産(資産から費用をひいた金額)の純増減分です。
SECT006,Q0070,負債性引当金,負債性引当金に関する記述のうち、正しいものはどれですか。,引当金が計上されると、流動資産が増加する。,引当金が計上されると、負債が増加する。,引当金が計上されると、純資産のうち株主資本が増加する。,引当金が計上されると、無形固定資産が増加する。,【５】-,2,引当金が計上されると、負債が増加する。,負債性引当金とは、将来の支出に備えた引当金のことであり、賞与引当金、退職給付引当金、修繕引当金などが負債性引当金にあたる。 負債性引当金は、将来の支出の原因が当期以前に発生しているという意味で負債に近い性格を持つが、将来支出額が確定していないため引当金として見積計上を行う引当金である。 引当金は、評価性引当金と負債性引当金に分類される。
SECT006,Q0080,収益認識基準,収益認識基準に関する次の記述のうち、正しいものはどれですか。,委託販売においては、受託者が委託品を第三者に販売した時に収益認識を行うことが原則である。,試用販売においては、商品を引渡した時点で収益認識を行い、返品された場合は収益の取消しを行う。,工事完成基準においては、工事が完成して引渡した時点で収益認識を行い、それまで工事原価は費用として認識する。,工事進行基準においては、工事の進捗状況に応じて収益認識を行うため、販売基準の適用といえる。,【５】-,1,委託販売においては、受託者が委託品を第三者に販売した時に収益認識を行うことが原則である。,収益基準:生産基準、販売基準、現金基準の３つがあるが原則的な基準は販売基準である。#特殊な販売基準とは以下の４基準のことである。#①委託販売・・・当社（委託者)が販売代行会社（受託者）に商品を預けて、販売を代行してもらう取引。受託者は販売代金の 一部を手数料として受取り、委託者は残額を受取る。委託販売では次の２つの収益基準が認めている。#１つ目は受託者が委託品を第三者に販売した時点で売上収益を計上することが認められている。２つ目は、仕切精算書が販売のつど 送付されている場合、当該仕切精算書が到達した時点で売上収益を計上することが認められている。#※仕切精算書・・・委託販売において、受託者が委託品（受託品）を販売した場合に、その販売に関する計算を行い、委託者に報告するために送付する計算書。#②試用販売・・・得意先に商品を発送して一定期間試用してもらい、気に入れば買い取ってもらう取引。商品を引渡した後に 得意先が買取の意思を表示した時点で収益を認識する。買取意思表示基準。#③予約販売・・・予約販売とは雑誌の定期刊行物や電車の定期券などのように、一定期間に渡る購読料や定期代を事前に受領し、 それに基づいて将来の商品引渡しやサービスの提供を行う取引。予約金受取額のうち、商品を引渡しまたはサービスの提供が完了 した分だけ売上収益が認識される。#④工事完成基準・・・工事が完成して引渡しが完了した時点で収益を認識する方法で、引渡しが完了するまでは収益と費用の いずれにも計上されない。販売基準を請負工事に適用したのが工事完成基準である。#生産基準とは工事進行基準のように工事の進捗状況に応じて段階的に収益を認識する方法であり生産基準の一適用例である。
SECT006,Q0090,費用収益対応の原則,費用収益対応の原則に関する記述のうち、正しいものはどれですか。,費用収益対応の原則とは、発生した費用に対応する収益を計上する原則である。,売上高と売上原価の対応関係は、直接的対応と呼ばれる。,繰延資産は、財貨または役務の消費に先行して費用や損失が計上される結果として計上される資産である。,損失は、売上高の獲得に貢献しているとみなされている。,【５】-,2,売上高と売上原価の対応関係は、直接的対応と呼ばれる。,費用収益対応の原則とは、実現した収益に対応するものが費用とされる原則であるため1は誤り。#繰延資産は支払や支出もその消費も完了した発生費用のうち将来の収益獲得に貢献する可能性のある項目について 将来の収益に対応させるために資産として繰述べるものであるため3は誤り。損失とは、収益の獲得になんら貢献しなかった費用のことであるため４も誤り。#したがって２が正解。
SECT006,Q0100,有形固定資産の減価償却,有形固定資産の減価償却に関する記述のうち、正しくないものはどれですか。,日本では、減価償却方法として定額法と定率法を併用する企業が最も多い。,定額法による減価償却費の計算には、取得価額、残存価額、耐用年数が必要である。,有形固定資産への追加支出は、全て資本的支出とみなされ、有形固定資産の価額に追加され減価償却費の対象となる。,定額法による減価償却費の計算には、取得原価から減価償却累計額を差し引いた額に償却率を乗じる手続きが必要となる。,【５】-,3,有形固定資産への追加支出は、全て資本的支出とみなされ、有形固定資産の価額に追加され減価償却費の対象となる。,追加支出のうち改良とみなされれば資本的支出として当該支出は有形固定資産の価額に加算されるが、単なる維持補修の費用は収益的支出とみなされ、当期の費用として処理される。
