章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT004,Q0010,市場均衡,パンは正常財であり、その市場価格は代替財である米の価格、補完財であるバターの価格、原料である小麦の価格、消費者の所得それぞれの変化によって影響を受ける。次のうち正しくないものはどれか。　,【１】米の価格が上昇すると、パンの価格は上昇する。,【２】バターの価格が上昇すると、パンの価格は上昇する。,【３】小麦の価格が上昇すると、パンの価格は上昇する。,【４】所得が上昇すると、パンの価格は上昇する。,【５】-,2,【２】バターの価格が上昇すると、パンの価格は上昇する。,正解は選択肢2。#米の価格が上昇すれば、米はパンの代替財であることから、パンの需要が増加して、パンの需要曲線が右にシフトし、パンの均衡価格は上昇する。バターはパンの補完財であるので、バターの価格が上昇するとパンの需要は減少して、パンの需要曲線が左にシフトし、パンの需要曲線が左にシフトし、パンの均衡価格は下落する。従って、選択肢２が誤り。#小麦の価格が上昇すれば、パンの供給曲線が左にシフトし、パンの均衡価格は上昇する。#パンは正常財であるということから、所得が上昇すると、パンの需要曲線が右にシフトし、パンの均衡価格は上昇する。
SECT004,Q0020,完全競争市場,完全競争市場に関して、次のうち正しくないものはどれか。,【１】市場には、売り手と買い手が多数存在する。,【２】市場の参加者は取引されている財の価格及び品質に関して完全な情報を有している。,【３】取引に関する費用は無視される。,【４】供給者は、企業間競争の中で自らの財を少しでも高い価格で売ろうと努力する。,【５】-,4,【４】供給者は、企業間競争の中で自らの財を少しでも高い価格で売ろうと努力する。,正解は選択肢4。#供給者は、価格を与えられたものとして行動する。#すなわち、プライステイカーなのである。従って、選択肢４が誤り。#他の選択肢は完全競争市場に関する記述として正しい。
SECT004,Q0030,市場の需要と供給,ある財の市場の需要曲線と供給曲線の交点Eは均衡点である。次の記述のうち、正しくないものはどれか。,【１】粗代替財の他の財の価格が上昇すると、この市場均衡価格は上昇する。,【２】粗補完材の他の財の価格が上昇すると、この市場均衡生産量は増加する。,【３】均衡点Eは、ワルラス的調整過程のもとで安定的である。,【４】均衡点Eは、マーシャル的調整過程のもとで安定的である。,【５】-,2,【２】粗補完材の他の財の価格が上昇すると、この市場均衡生産量は増加する。,正解は選択肢2。#選択肢１については、粗代替財の価格上昇は、この財の需要を増加させるため、需要曲線を右にシフトさせることから均衡価格は上昇する。#選択肢２については、粗補完財の価格上昇は、この財の需要を減少させるため需要曲線を左にシフトさせることから均衡生産量は減少する。#ワルラス的調整過程は、受給料に応じて価格が調整される。均衡価格(交点Eに対応する価格)より高い価格では、超過供給が発生しているので、価格が下落する。均衡価格より低い価格では、超過需要が発生しているので、価格が上昇する。その結果、市場の調整の結果としてE点が達成されることになる。マーシャル的調整過程では、価格差に応じて需給量が調整される。#均衡生産量(交点Eに対応する生産量)より多い生産量では、供給価格が需要価格を上回るので、市場調整の結果として生産量は減少する。均衡生産量より少ない生産量では、需要価格が供給価格を上回るので、市場調整の結果として生産量は増加する。#従って、どちらの調整過程においても、均衡点Eは安定的である。
SECT004,Q0040,消費と限界消費性向,消費に関する記述として、正しいものは次のうちどれか。,【１】資産効果が働くと、限界消費性向が平均消費性向を上回ることになる。,【２】独立消費分が負であるときには、平均消費性向は限界消費性向よりも大きくなる。,【３】限界消費性向が１を超え、かつ、限界貯蓄性向が正になることがある。,【４】限界消費性向が１を超えるとき、負債が増えるか資産が減少する。,【５】-,4,【４】限界消費性向が１を超えるとき、負債が増えるか資産が減少する。,正解は選択肢4。#限界消費性向は消費の増分の所得の増分に対する比率のことであるが、限界消費性向が１を超えるということは、所得増分以上に消費を行うということであるから、過去に貯蓄した資産を取り崩すか負債が増加することになる。従って、選択肢４が正しい。#　選択肢１及び２については、必ずしも問題文のようになるとは限らない。選択肢３については、限界消費性向＋限界貯蓄性向は１であるから誤り。#　経済学の教科書では、限界消費性向が０から１の間の正の定数と説明されているが、このような問題が出題されることもあるということを認識しておいた方が良い。
SECT004,Q0050,消費の資産効果,手持ち資産の増大は消費を拡大させる可能性がある。こうした現象を消費の資産効果という。資産効果に関して、正しいものは次のうちどれか。,【１】資産の増加分が消費を増加させるとき、貯蓄は減少する。,【２】資産の実質価値は増加する要因が，一般物価水準一定下の名目資産増の場合であっても、名目資産一定下の一般物価水準の下落の場合であっても、実質消費に対する資産効果は同様に働く。,【３】閉鎖経済を前提にすると、国内での資産と負債は相殺されるので、正の資産効果も負の資産効果で相殺され、マクロ的に経済を与える影響は中立となることが知られている。,【４】資産効果は、その資産の大小は経済主体が将来をどう捉えているかという主観的要因のみに依存している。,【５】-,2,【２】資産の実質価値は増加する要因が，一般物価水準一定下の名目資産増の場合であっても、名目資産一定下の一般物価水準の下落の場合であっても、実質消費に対する資産効果は同様に働く。,正解は選択肢2。#選択肢２は消費の資産効果は資産の実質価格に依存するということを前提に、実質資産の増加は名目資産価格の増大でも物価下落でも構わないことを述べている。#(ただし、問題文中、「資産効果は同様に働く」という記述を、資産効果が「どちらも同じ大きさで働く」と解釈するとこの選択肢は正しくない。本問は実際の試験に基づいて出題しているが、本試験ではこのような解釈が必要なときもあるということを認識しておく必要がある。貨幣錯覚等を考えると、資産価格の変動が名目資産効果の増大か物価の下落かで消費に与える影響(大きさ)は自ずと異なったものとなるのは明らかである。こうしたケースでは、他の選択肢を検討し、他の選択肢を選ぶことができないことをしっかりと確かめる必要がある。)#選択肢３については、資産効果と負債効果は同額の資産、負債に対して対称的な(等しい)影響を与えるものではない。
SECT004,Q0060,消費と効用,経済主体は、ある効用関数を前提として、消費から得られる効用を最大化するよう行動するというのが消費行動に関する経済学の考え方である。消費から得られる効用の割引現在価値を最大化するとの想定のもとで、正しくないものは次のうちどれか。,【１】時間選好率は異時点間の消費の限界代替率(から１を引いたもの)と等しく、主観的要因によって決まる。,【２】各時点での消費の限界効用が低減するならば、各時点での消費の変動を抑えて消費の平準化を図る事が効用を最大化するために必要となる。,【３】時間選好率が高いということは、消費に関して現在よりも将来に重いウェイトを置いているということである。,【４】時間選好率と市場利子率が異なる場合は、消費を調整することで、生涯効用を増加させることができる。,【５】-,3,【３】時間選好率が高いということは、消費に関して現在よりも将来に重いウェイトを置いているということである。,正解は選択肢3。#時間選好率が、現時点で、ある財を消費することによる効用と将来においてその財を消費することによる効用との比較する際の割引率であるという程度のことを知っていれば、時間選好率が高いということは将来の消費から得られる効用が小さく感じられている、すなわち、現時点で消費することの方が大きな効用を生むことを意味しているからである。#　従って、選択肢３が誤りであることが分かり、他の選択肢は無視しても良い(本問は実際の試験問題の類似問題であるが、他の選択肢には時間選好率や限界代替率等の言葉が出てきて多少難しいように感じる。)#　もともと、消費行動の理論(消費関数論)は、限られた予算(一般的に生涯の所得の合計、ただし、ここでも将来所得を割り引くという考え方含まれる。)の範囲内で、効用を最大化する問題である。#選択肢４は、主観的な時間選好率と市場利子率が乖離している場合には、現在の消費量を調整することで消費から得られる全体の効用を高められる可能性がある。例えば、市場利子率が時間選好率より高いときには、現在の消費を抑えることで所得を蓄え、翌期には利子分を加算した多くの所得を手中にでき、これを使えばより大きな効用を得ることが出来る。言い換えると、将来の効用を主観的な時間選好率で割り引いた大きさより、より多くの所得をベースにした効用を得ることができるということである。#選択肢１は、現在財と将来財の２財モデルから考えれば正しいことが分かる。#選択肢２は、正しい記述だが、２財モデルでは説明出来ない。数期にわたる(生涯)消費を記述した消費関数に基づいて考える。
SECT004,Q0070,家計の消費と貯蓄行動,家計の消費と貯蓄について述べた次の記述のうち、正しくないものは次のうちどれか。,【１】個人消費は、過去に形成された消費慣習に影響されるといった慣性効果が働くので、不況期には貯蓄率は低下することが考えられる。,【２】多くの家計が将来の不安に対応して貯蓄を増やそうとする結果、マクロの貯蓄は確実に増えている。,【３】恒常所得仮説のもとでは、家計が一時的であると考える減税政策は個人消費を刺激する効果がない。,【４】ライフサイクル仮説を前提とすると、高齢化社会では、貯蓄をする主体より、貯蓄を切り崩す主体が増えるため、経済全体の貯蓄率は低下することが考えられる。,【５】-,2,【２】多くの家計が将来の不安に対応して貯蓄を増やそうとする結果、マクロの貯蓄は確実に増えている。,正解は選択肢2。#選択肢１については、長期的には、国民所得の拡大に伴って消費は比例的に徐々に拡大し、不況期になると国民所得の減少に伴って消費も比例的に減少するが、過去の消費慣習をすぐに改めることができないことから、ある一定量の消費減少後はより緩やかに減少する。この場合には当然消費性向は上昇することになり、それに伴って貯蓄性向は低下することになる。#　ちなみに、このような消費が比例的に減少せずに、途中で緩やかに減少することをラチェット効果と呼ぶ。#選択肢２は、多くの家計が貯蓄を増やそうとした場合に、マクロの貯蓄は増加しない。これは貯蓄のパラドックスと言われる。
SECT004,Q0080,貯蓄率(1),貯蓄率は家計の状況等によって傾向的な変化を示す場合がある。家計部門の貯蓄率に関して、次のうち正しくないものはどれか。,【１】ライフサイクルモデルによると、高齢化社会の進展は、貯蓄率を上昇させる。,【２】貯金金利の低下は、所得効果が代替効果を上回らない限り、家計部門の貯蓄率を低下させる。,【３】賃貸住宅市場の整備やリバースモーゲージの発達は、家計の貯蓄率を低下させる。,【４】年金制度や介護保険制度に関する将来不安が高まれば、貯蓄率を上昇させる。,【５】-,1,【１】ライフサイクルモデルによると、高齢化社会の進展は、貯蓄率を上昇させる。,正解は選択肢1。#ライフサイクルモデルによれば、若年期には将来に備えた貯蓄がなされ、老年期にはその貯蓄の取り崩しが行われることから、高齢化が進めば貯蓄率は低下する。#選択肢３は将来不安が緩和することで貯蓄率が低下するケース、選択肢４は将来不安が増大することで貯蓄率が増加するケースで、ともに正しい。#　選択肢２の所得効果と代替効果については、この表現からだけではその意味が必ずしも明らかではない。
SECT004,Q0090,貯蓄率(2),マクロの家計貯蓄率について、正しくないものは次のうちどれか。,【１】高齢化の進展は、家計の貯蓄率を低下させる。,【２】家計が利他的動機に基づく遺産動機をもつとき、所得減税すると家計貯蓄率が上昇する。,【３】住宅ローンの借り入れが困難なときには、家計貯蓄率が高止まりする傾向がある。,【４】労働所得の不透明感が高まると、家計の貯蓄率は低下する。,【５】-,4,【４】労働所得の不透明感が高まると、家計の貯蓄率は低下する。,正解は選択肢4。#選択肢１はライフサイクル／恒常所得仮説に基づくと、選択肢の通りであり、今後我が国で危惧される事態である。選択肢２は利他的遺産動機に基づくとしているので、減税によってもたらさせた可処分所得の増分が子孫のための貯蓄に回される。選択肢３、４はその通り正しい。
SECT004,Q0100,ライフサイクル仮説,家計消費のライフサイクル仮説に関して、正しいものはどれか。,【１】将来所得の増加は貯蓄を小さくする効果をもたらし、利子率の水準も消費に影響を及ぼす。,【２】家計が資金を借り入れる時に、現在の所得水準が制約になるとする想定をおいている。,【３】現在の所得水準のみならず、過去の所得がもたらした貯蓄水準を念頭におきながら、合理的に行動する。,【４】家計が自由に資金を借り入れられると想定すると、ケインズ型消費関数となる。,【５】-,1,【１】将来所得の増加は貯蓄を小さくする効果をもたらし、利子率の水準も消費に影響を及ぼす。,正解は選択肢1。#ライフサイクル仮説は消費の決定について、現在の所得だけでなく、将来の所得も考慮したうえで、それらをどのように各期の消費として割り振るかを考える。借入れをすることには(流動性に関する)制約がないことを前提とし、また、将来の所得やこれまでの借入れあるいは貯蓄を考慮することから利子率の水準も消費量の決定に影響を及ぼすことになる。
