章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT006,Q0010,損益、修正仕訳等,A商店は、B商店に対して手数料￥200を小切手を振出して支払った。,支払手数料,200,当座預金,200,現金,当座預金,支払手数料,受取手数料,通信費,福利厚生費,-,-,-,-,-,-,手数料を支払った場合、「支払手数料」（費用）の増加として仕訳をします。#よって、#（借方）支払手数料200「費用の増加」#（貸方）当座預金200「資産の減少」#となります。
SECT006,Q0020,損益、修正仕訳等,11月分の電話料金￥400が普通預金より引落された。,通信費,400,普通預金,400,現金,当座預金,普通預金,通信費,広告宣伝費,福利厚生費,-,-,-,-,-,-,電話料金が引き落とされた場合、「通信費」（費用）の増加として仕訳をします。#よって、#（借方）通信費400「費用の増加」#（貸方）普通預金400「資産の減少」#となります。# #オマケ情報#電話料金、インターネット料金や切手・ハガキの使用代金等は「通信費」（費用）の増加として仕訳をします。
SECT006,Q0030,損益、修正仕訳等,A商店は、B商店より地代￥300を小切手で受取り、ただちに当座預金に預入れた。,当座預金,300,受取地代,300,現金,当座預金,支払地代,受取地代,保管料,租税公課,-,-,-,-,-,-,地代を受け取った場合、「受取地代」（収益）の増加として仕訳をします。#よって、#（借方）当座預金300「資産の増加」#（貸方）受取地代300「収益の増加」#となります。# #オマケ情報#「地代」とは、土地を貸借する際にかかる金額で、もらう立場では「受取地代」（収益）、支払う立場では「支払地代」（費用）の増加として仕訳をします。
SECT006,Q0040,損益、修正仕訳等,A商店から今月分の家賃￥800を手渡しで受取った。,現金,800,受取家賃,800,現金,当座預金,支払家賃,受取家賃,修繕費,租税公課,-,-,-,-,-,-,家賃を受け取った場合、「受取家賃」（収益）の増加として仕訳をします。#よって、#（借方）現金800「資産の増加」#（貸方）受取家賃800「収益の増加」#となります。# #オマケ情報#「家賃」とは、家やアパート・マンションの部屋を貸借する際にかかる金額で、もらう立場では「受取家賃」（収益）、支払う立場では「支払家賃」（費用）の増加として仕訳をします。
SECT006,Q0050,損益、修正仕訳等,従業員の慰安旅行の諸費用￥200を現金で支払った。,福利厚生費,200,現金,200,現金,当座預金,保険料,法定福利費,旅費交通費,福利厚生費,-,-,-,-,-,-,従業員の慰安旅行の諸費用を支払った場合、「福利厚生費」（費用）の増加として仕訳をします。#よって、#（借方）福利厚生費200「費用の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#従業員の慰安旅行の他、社内のクラブ活動に対する補助金や社員の慶弔にかかる支払（ご祝儀や香典）等の支払いを行った場合、「福利厚生費」（費用）の増加として仕訳をします。福利厚生費は、あくまで「社員」のためにかかった費用です。「得意先」等に支払ったこれらの金額は「交際費」（費用）になりますので区別しておさえて下さい。
SECT006,Q0060,損益、修正仕訳等,A倉庫に対して、11月分の保管費￥400を小切手を振出して支払った。,保管費,400,当座預金,400,現金,当座預金,保管費,通信費,給料,当座借越,-,-,-,-,-,-,商品等を保管しておくための倉庫代等を支払った場合、「保管費」（費用）の増加として仕訳をします。#よって、#（借方）保管費400「費用の増加」#（貸方）当座預金400「資産の減少」#となります。
SECT006,Q0070,損益、修正仕訳等,空箱を古紙回収業者に売却し、現金￥500を受取った。,現金,500,雑益,500,現金,当座預金,保管費,通信費,給料,雑益,-,-,-,-,-,-,空箱を古紙回収業者に売却する等、取引の重要性が低く、かつ、金額が少ない収益については、「雑益（または雑収入）」（収益）の増加として仕訳をします。#よって、#（借方）現金500「資産の増加」#（貸方）雑益500「収益の増加」#となります。# #オマケ情報#同様に、取引の重要性が低く、かつ、金額が少ない費用については、「雑損（または雑損失）」（費用）の増加として仕訳します。#本試験では「他にめぼしい費用や収益がなかったら雑益（または雑収入）・雑損（または雑損失）を選択する」といったスタンスで臨んで下さい。
SECT006,Q0080,損益、修正仕訳等,従業員よりタクシー代￥600が請求されたため、現金で支払った。,旅費交通費,600,現金,600,現金,当座預金,旅費交通費,通信費,給料,雑益,-,-,-,-,-,-,タクシー代を支払った場合、「旅費交通費」（費用）の増加として仕訳をします。#よって、#（借方）旅費交通費600「費用の増加」#（貸方）現金600「資産の減少」#となります。
SECT006,Q0090,損益、修正仕訳等,郵便局より収入印紙￥200を現金で購入した。,租税公課,200,現金,200,現金,当座預金,旅費交通費,通信費,租税公課,法定福利費,-,-,-,-,-,-,収入印紙については、「租税公課」（費用）の増加として仕訳をします。#よって、#（借方）租税公課200「費用の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#「租税公課」とは、税金や罰金（交通違反金）等の金額をまとめて表示する費用勘定です。#3級試験では「固定資産税」「自動車税」「印紙税」等をおさえて下さい。#固定資産税は、保有する「固定資産（長期間にわたって使用する資産）」に対して課される税金です。#自動車税は、保有する自動車に対して課される税金です。#印紙税は、一定の文書（例：税抜3万円以上の領収書）を作成する際に、その文書に対して課される税金です。#一つ注意すべきとしては、「お店の営業に関わるものに対してのみ」費用に出来るという点です。#例えば、「自宅（店舗として利用していない）の固定資産税」や「自家用車の自動車税」等は、あくまで店主個人の出費ですのでお店の費用にはできません。
SECT006,Q0100,損益、修正仕訳等,保険会社に対し、建物の火災保険料￥100を現金で支払った。,保険料,100,現金,100,現金,当座預金,旅費交通費,保険料,給料,福利厚生費,-,-,-,-,-,-,建物の火災保険料を支払った場合、「保険料」（費用）の増加として仕訳をします。#よって、#（借方）保険料100「費用の増加」#（貸方）現金100「資産の減少」#となります。
SECT006,Q0110,損益、修正仕訳等,倉庫の修繕を行い、修繕費用￥500は月末に支払うことにした。,修繕費,500,未払金,500,現金,未払金,修繕費,給料,福利厚生費,保管料,-,-,-,-,-,-,倉庫の修繕（補修）費用を支払った場合、「修繕費」（費用）の増加として仕訳をします。#よって、#（借方）修繕費500「費用の増加」#（貸方）未払金500「負債の増加」#となります。
SECT006,Q0120,損益、修正仕訳等,A商店は、店舗の固定資産税￥300を現金で支払った。,租税公課,300,現金,300,現金,当座預金,修繕費,通信費,給料,租税公課,-,-,-,-,-,-,店舗の固定資産税を支払った場合、「租税公課」（費用）の増加として仕訳をします。#よって、#（借方）租税公課300「費用の増加」#（貸方）現金300「資産の減少」#となります。
SECT006,Q0130,損益、修正仕訳等,新聞広告代￥900が普通預金より引落された。,広告宣伝費,900,普通預金,900,現金,普通預金,修繕費,通信費,広告宣伝費,当座借越,-,-,-,-,-,-,新聞広告代を支払った場合、「広告宣伝費」（借方）の増加として仕訳をします。#よって、#（借方）広告宣伝費900「費用の増加」#（貸方）普通預金900「資産の減少」#となります。
SECT006,Q0140,損益、修正仕訳等,A商店は、B商店に対して10月分の家賃￥400を現金で支払った。,支払家賃,400,現金,400,現金,当座預金,修繕費,支払家賃,受取家賃,租税公課,-,-,-,-,-,-,家賃を支払った場合「支払家賃」（費用）の増加として仕訳をします。#よって、#（借方）支払家賃400「費用の増加」#（貸方）現金400「資産の減少」#となります。
SECT006,Q0150,損益、修正仕訳等,A商店は、従業員の社宅の諸費用￥700を小切手を振出して支払った。,福利厚生費,700,当座預金,700,現金,当座預金,修繕費,福利厚生費,支払家賃,法定福利費,-,-,-,-,-,-,従業員の社宅の諸費用を支払った場合、『福利厚生費」（費用）の増加として仕訳をします。#よって、#（借方）福利厚生費700「費用の増加」#（貸方）当座預金700「資産の減少」#となります。
SECT006,Q0160,損益、修正仕訳等,A商店は、所有する営業用の自動車税￥300を現金で支払った。,租税公課,300,現金,300,現金,当座預金,修繕費,福利厚生費,支払家賃,租税公課,-,-,-,-,-,-,営業用の自動車税を支払った場合、「租税公課」（費用）の増加として仕訳をします。#よって、#（借方）租税公課300「費用の増加」#（貸方）現金300「資産の減少」#となります。
SECT006,Q0170,損益、修正仕訳等,給料￥900の支払いに際し、源泉所得税￥100と社会保険料￥100を差引いた残額を現金で支払った。,給料,900,預り金,200,現金,預け金,預り金,給料,支払家賃,租税公課,-,-,-,-,-,-,給料の支払いの際に天引きした源泉所得税と社会保険料は「預り金」（負債）の増加として仕訳をします。#よって、#（借方）給料900「費用の増加」#（貸方）預り金200「負債の増加」#（貸方）現金700「資産の減少」#となります。
SECT006,Q0171,損益、修正仕訳等,-,-,-,現金,700,現金,預け金,預り金,給料,支払家賃,租税公課,-,-,-,-,-,-,-
SECT006,Q0180,損益、修正仕訳等,A商店はB商店に対して￥400を貸付けているが、利払日につきB商店より3か月分の利息￥100が当座預金に振込まれた。,当座預金,100,受取利息,100,現金,当座預金,受取利息,支払家賃,支払利息,雑益,-,-,-,-,-,-,貸付金から得た利息は「受取利息」（収益）の増加として仕訳をします。#よって、#（借方）当座預金100「資産の増加」#（貸方）受取利息100「収益の増加」#となります。
SECT006,Q0190,損益、修正仕訳等,得意先A商店に対する売掛金￥500を現金で回収した際に、貸方項目を誤って売上として仕訳していた。,売上,500,売掛金,500,現金,当座預金,売掛金,買掛金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）現金500「資産の増加」#（貸方）売上500「収益の増加」#◯正しい仕訳#（借方）現金500「資産の増加」#（貸方）売掛金500「資産の減少」#となります。#この場合、本来よりも「収益の増加が余計で、資産の減少が足りない」という状態になっています。#そこで、あるべき仕訳に正すためには、「収益を減少させ、資産を減少させる」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）売上500「収益の減少（増加の取消）」#（貸方）売掛金500「資産の減少」#となります。
SECT006,Q0200,損益、修正仕訳等,仕入先A商店に対する買掛金￥400を小切手を振出して支払った際に、借方科目を仕入と仕訳して仕訳していた。,買掛金,400,仕入,400,現金,当座預金,売掛金,買掛金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）仕入400「費用の増加」#（貸方）当座預金400「資産の減少」#◯正しい仕訳#（借方）買掛金400「負債の減少」#（貸方）当座預金400「資産の減少」#となります。#この場合、本来よりも「費用の増加が余計で、負債の減少が足りない」という状態になっています。#そこで、あるべき仕訳に正すためには、「費用を減少させ、負債を減少させる」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）買掛金400「負債の減少」#（貸方）仕入400「費用の減少（増加の取消）」#となります。
SECT006,Q0210,損益、修正仕訳等,A商店に商品￥100を掛販売したところ、誤って科目の貸借を反対に仕訳を行ってしまった。,売掛金,200,売上,200,現金,当座預金,売掛金,買掛金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）売上100「収益の減少」#（貸方）売掛金100「資産の減少」#◯正しい仕訳#（借方）売掛金100「資産の増加」#（貸方）売上100「収益の増加」#となります。#この場合、「資産が＋100されるべきなのに－100をしてしまっていて、収益が＋100されるべきなのに－100をしてしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「資産を＋200し、収益を＋200する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）売掛金200「資産の増加」#（貸方）売上200「収益の増加」#となります。
SECT006,Q0220,損益、修正仕訳等,得意先に商品￥500を掛販売した際に、誤って￥800と仕訳してしまった。,売上,300,売掛金,300,現金,当座預金,売掛金,買掛金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）売掛金800「資産の増加」#（貸方）売上800「収益の増加」#◯正しい仕訳#（借方）売掛金500「資産の増加」#（貸方）売上500「収益の増加」#となります。#この場合、「資産が＋500されるべきなのに＋800をしてしまっていて、収益が＋500されるべきなのに＋800をしてしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「資産を－300し、収益を－300する」ことが必要となります。#よって、『本問で行うべき修正仕訳（解答の仕訳）』#（借方）売上300「収益の減少（増加の取消）」#（貸方）売掛金300「資産の減少（増加の取消）」#となります。
SECT006,Q0230,損益、修正仕訳等,通信費￥200を支払った際、広告宣伝費として処理していた。,通信費,200,広告宣伝費,200,現金,当座預金,通信費,広告宣伝費,雑費,雑益,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問（現金で支払ったと仮定しています）の場合、#×誤った仕訳#（借方）広告宣伝費200「費用の増加」#（貸方）現金200「資産の減少」#◯正しい仕訳#（借方）通信費200「費用の増加」#（貸方）現金200「資産の減少」#となります。#この場合、「広告宣伝費は0であるべきなのに＋200をしてしまっていて、通信費が＋200されるべきなのに0になってしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「広告宣伝費を－200し、通信費を＋200する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）通信費200「費用の増加」#（貸方）広告宣伝費200「費用の減少（増加の取消）」#となります。
SECT006,Q0240,損益、修正仕訳等,A商店が商品￥600を売上げた際に、代金はB商店が発行した商品券を受取った。A商店は次の仕訳を行っている。#商品券600/売上600#修正仕訳を行いなさい。,他店商品券,600,商品券,600,現金,当座預金,他店商品券,商品券,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）商品券600「負債の減少」#（貸方）売上600「収益の増加」#◯正しい仕訳#（借方）他店商品券600「資産の増加」#（貸方）売上600「収益の増加」#となります。#この場合、「商品券は0であるべきなのに－600をしてしまっていて、他店商品券が＋600されるべきなのに0になってしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「商品券を＋600し、他店商品券を＋600する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）他店商品券600「資産の増加」#（貸方）商品券600「負債の増加（減少の取消）」#となります。
SECT006,Q0250,損益、修正仕訳等,商品の内金代金とし￥400を現金で受取っていたが、仮受金として処理していた。,仮受金,400,前受金,400,現金,当座預金,仮受金,前受金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）現金400「資産の増加」#（貸方）仮受金400「負債の増加」#◯正しい仕訳#（借方）現金400「資産の増加」#（貸方）前受金400「負債の増加」#となります。#この場合、「仮受金は0であるべきなのに＋400をしてしまっていて、前受金が＋400されるべきなのに0になってしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「仮受金を－400し、前受金を＋400する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）仮受金400「負債の減少（増加の取消）」#（貸方）前受金400「負債の増加」#となります。
SECT006,Q0260,損益、修正仕訳等,倉庫の修繕を行い、修繕費用￥500を現金で支払ったが、借方項目を仮払金で処理していた。,修繕費,500,仮払金,500,現金,当座預金,仮受金,仮払金,修繕費,広告宣伝費,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）仮払金500「資産の増加」#（貸方）現金500「資産の減少」#◯正しい仕訳#（借方）修繕費500「費用の増加」#（貸方）現金500「資産の減少」#となります。#この場合、「仮払金は0であるべきなのに＋500をしてしまっていて、修繕費が＋500されるべきなのに0になってしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「仮払金を－500し、修繕費を＋500する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）修繕費500「費用の増加」#（貸方）仮払金500「資産の減少（増加の取消）」#となります。
SECT006,Q0270,損益、修正仕訳等,得意先A商店より受取った為替手形￥800を銀行で割引き、手取り￥700を当座預金に預入れた際に、以下の仕訳を行った。#当座預金700/受取手形700#よって修正仕訳を行いなさい。,手形売却損,100,受取手形,100,現金,当座預金,受取手形,支払手形,手形売却損,手形売却益,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）当座預金700「資産の増加」#（貸方）受取手700「資産の減少」#◯正しい仕訳#（借方）当座預金700「資産の増加」#（借方）手形売却損100「費用の増加」#（貸方）受取手形800「資産の減少」#となります。#この場合、「手形売却損が＋100されるべきなのに0になっていて、受取手形が－800されるべきなのに－700になってしまっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「手形売却損を＋100し、受取手形を－100する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）手形売却損100「費用の増加」#（貸方）受取手形100「資産の減少」#となります。
SECT006,Q0280,損益、修正仕訳等,A工務店は販売用の備品￥900を購入し、代金は後日払いとした際に次の仕訳を行った。#備品900/未払金900#よって修正仕訳を行いなさい。,未払金,900,備品,900,売掛金,買掛金,備品,未払金,仕入,売上,-,-,-,-,-,-,過去に誤った仕訳を行なっていた場合、それを修正するための仕訳が必要となります。#本問の場合、#×誤った仕訳#（借方）備品900「資産の増加」#（貸方）未払金900「負債の増加」#◯正しい仕訳#（借方）仕入900「費用の増加」#（貸方）買掛金900「負債の増加」#となります。#この場合、「備品と未払金が本来0であるべきなのに＋900されていて、仕入と買掛金が本来＋900されるべきなのに0になっている」という状態になっています。#そこで、あるべき仕訳に正すためには、「備品と未払金を－900し、仕入と買掛金を＋900する」ことが必要となります。#よって、#『本問で行うべき修正仕訳（解答の仕訳）』#（借方）未払金900「負債の減少（増加の取消）」#（借方）仕入900「費用の増加」#（貸方）備品900「資産の減少（増加の取消）」#（貸方）買掛金900「負債の増加」#となります。# #オマケ情報#「備品」や「建物」であっても販売用であるならばそれは当社にとって「商品」になります。#この場合、通常の商品売買の仕訳をすることになります。
SECT006,Q0281,損益、修正仕訳等,-,仕入,900,買掛金,900,売掛金,買掛金,備品,未払金,仕入,売上,-,-,-,-,-,-,-
[EOF],,,,,,,,,,,,,,,,,,,,
