章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説
SECT008,Q0010,決算整理等,事務用の文具一式￥100を購入し、代金は小切手を振出して支払った。なお、消耗品は購入時に消耗品費勘定で処理する。,消耗品費,100,当座預金,100,現金,当座預金,消耗品費,消耗品,仕入,売上,-,-,-,-,-,-,消耗品を購入した場合に、借方の仕訳の方法が2通りあります。#1つ目は消耗品費（費用）で計上する方法で、2つ目は消耗品（資産）で計上する方法です。#本問では消耗品費で計上する指示がありますので、#（借方）消耗品費100「費用の増加」#（貸方）当座預金100「資産の減少」#となります。
SECT008,Q0020,決算整理等,事務用の文具一式￥200を購入し、代金は現金で支払った。なお、消耗品は購入時に消耗品勘定で処理する。,消耗品,200,現金,200,現金,当座預金,消耗品費,消耗品,仕入,売上,-,-,-,-,-,-,消耗品を購入した場合に、借方の仕訳の方法が2通りあります。#1つ目は消耗品費（費用）で計上する方法で、2つ目は消耗品（資産）で計上する方法です。#本問では消耗品で計上する指示がありますので、#（借方）消耗品200「資産の増加」#（貸方）当座預金200「資産の減少」#となります。
SECT008,Q0030,決算整理等,決算にあたり、文房具の未使用高￥400を次期に繰越す。なお、当期は文房具を￥900購入しており、購入時に消耗品費勘定で処理している。,消耗品,400,消耗品費,400,現金,当座預金,消耗品費,消耗品,仕入,売上,-,-,-,-,-,-,消耗品は当期に使用した分を「消耗品費」とし、当期に未使用で残っている部分を「消耗品」とします。#本問では購入時に消耗品費で処理していますので、未使用分を消耗品費から控除し、消耗品を計上する仕訳が必要となります。#よって、#（借方）消耗品400「資産の増加」#（貸方）消耗品費400「費用の減少」#となります。
SECT008,Q0040,決算整理等,決算にあたり、文房具の未使用高￥400を次期に繰越す。なお、当期は文房具を￥900購入しており、購入時に消耗品勘定で処理している。,消耗品費,500,消耗品,500,現金,当座預金,消耗品費,消耗品,仕入,売上,-,-,-,-,-,-,消耗品は当期に使用した分を「消耗品費」とし、当期に未使用で残っている部分を「消耗品」とします。#本問では購入時に消耗品で処理していますので、使用済分を消耗品から控除し、消耗品費を計上する仕訳が必要となります。#よって、#（借方）消耗品費500「費用の増加」#（貸方）消耗品500「資産の減少」#となります。
SECT008,Q0050,決算整理等,現金の帳簿残高は￥400で、実際有高は￥300であった。不足額の原因を調査したが、原因不明のため引き続き調査をする。,現金過不足,100,現金,100,現金,当座預金,現金過不足,雑益,雑損,引出金,-,-,-,-,-,-,現金の金額が帳簿と実際で異なっているがその原因が不明で、調査を行う場合、現金の金額を実際に合わせる処理を行い（不足なら減少させ、過剰なら増加させる）、相手に「現金過不足」勘定（原因が判明するまでの仮の勘定）を仕訳します。#本問では、現金が帳簿よりも実際の方が不足しているため、仕訳は#（借方）現金過不足100#（貸方）現金100「資産の減少」#となります。
SECT008,Q0060,決算整理等,現金の実際有高が帳簿残高より￥200過剰であるため、原因を調査することにした。,現金,200,現金過不足,200,現金,当座預金,現金過不足,雑益,雑損,引出金,-,-,-,-,-,-,現金の金額が帳簿と実際で異なっているがその原因が不明で、調査を行う場合、現金の金額を実際に合わせる処理を行い（不足なら減少させ、過剰なら増加させる）、相手に「現金過不足」勘定（原因が判明するまでの仮の勘定）を仕訳します。#本問では、現金が帳簿よりも実際の方が過剰であるため、仕訳は#（借方）現金200「資産の増加」#（貸方）現金過不足200#となります。
SECT008,Q0070,決算整理等,現金過不足勘定で処理しておいた現金過剰額￥400の原因について調べたところ、売掛金の入金の記帳漏れと判明した。,現金過不足,400,売掛金,400,現金,当座預金,現金過不足,雑益,雑損,売掛金,-,-,-,-,-,-,帳簿と実際の差額の原因が判明した場合、現金過不足を取り崩し、正しい状態になるように仕訳をします。#本問では、売掛金回収の仕訳をしなければなりませんので、#（借方）現金過不足400#（貸方）売掛金400「資産の減少」#となります。
SECT008,Q0080,決算整理等,現金過不足勘定の貸方残高が￥600である。再調査したところ、現金の実際有高が帳簿残高より多かったのは、現金売上の計上漏れだと判明した。,現金過不足,600,売上,600,現金,当座預金,現金過不足,雑益,売掛金,売上,-,-,-,-,-,-,帳簿と実際の差額の原因が判明した場合、現金過不足を取り崩し、正しい状態になるように仕訳をします。#本問では、売上計上の仕訳をしなければなりませんので、#（借方）現金過不足600#（貸方）売上600「収益の増加」#となります。
SECT008,Q0090,決算整理等,当期に生じた現金過不足額￥100の原因は、現金仕入の計上漏れと判明した。,仕入,100,現金過不足,100,現金,当座預金,現金過不足,仕入,雑損,売上,-,-,-,-,-,-,帳簿と実際の差額の原因が判明した場合、現金過不足を取り崩し、正しい状態になるように仕訳をします。#本問では、仕入計上の仕訳をしなければなりませんので、#（借方）仕入100「費用の増加」#（貸方）現金過不足100#となります。
SECT008,Q0100,決算整理等,過去に現金過不足勘定で処理しておいた現金不足額￥800の原因を調査したところ、旅費交通費の支払分￥300と利息の受取分￥100の記帳漏れと判明した。残りの不足額については、不明なため、雑損として処理することとした。,旅費交通費,300,受取利息,100,旅費交通費,支払利息,受取利息,雑益,雑損,現金過不足,-,-,-,-,-,-,帳簿と実際の差額の原因が判明しなかった場合、現金過不足を取り崩し、現金が不足していた場合は「雑損」、過剰であった場合は「雑益」を計上します。#本問では結局600の不足の原因が判明しなかったため、#（借方）旅費交通費300「費用の増加」#（借方）雑損600「費用の増加」#（貸方）受取利息100「収益の増加」#（貸方）現金過不足800#となります。
